ticker,date,run_pct,drop_pct,retrace,run_bars,drop_bars,L_atr,n_sup,room_to_sup,nearest_gap,held_highest_HL,err_fixed35,err_fixed50,err_highHL,err_recentHL,err_launch,run_bkt
AAPL,2023-01-04,2.1762482593992436,0.5295537730706273,0.24862888482632275,18,4,0.5112213924047708,3,0.6873857404021922,0.4387568555758695,True,0.10137111517367801,0.2513711151736798,0.4387568555758695,0.4387568555758695,0.7513711151736773,huge
AAPL,2023-01-06,1.3055863269504715,0.7966882761852658,0.6181818181818136,8,5,0.49892739254420265,2,1.0121212121212098,0.39393939393939603,True,0.2681818181818145,0.11818181818181364,0.39393939393939603,0.39393939393939603,0.3818181818181864,big
AAPL,2023-01-06,0.7015206145163788,0.537069468768241,0.7709497206703919,11,6,0.3819613440587111,3,0.5195530726257045,0.2513966480446875,False,0.42094972067037845,0.2709497206703999,0.2513966480446875,0.2513966480446875,0.22905027932960806,small
AAPL,2023-01-06,1.7932489451476807,0.7177125311840356,0.4074074074074081,25,11,0.26065879316682905,3,0.7559912854030555,0.3485838779956474,True,0.05740740740741212,0.092592592592595,0.3485838779956474,0.3485838779956474,0.5925925925925919,huge
AAPL,2023-01-10,1.1830635118306432,0.4423076923076835,0.3782894736842005,13,3,0.2926587755811764,3,0.24999999999999534,0.12828947368420518,False,0.028289473684195827,0.12171052631579014,0.12828947368420518,0.12828947368420518,0.6217105263157995,medium
AAPL,2023-01-11,0.8804219953701922,0.29718240981076766,0.3405172413792957,12,2,0.22008899299656282,2,1.1120689655172378,0.7715517241379422,True,0.00948275862071046,0.1594827586207166,0.7715517241379422,0.7715517241379422,0.6594827586207044,small
AAPL,2023-01-12,1.5934294689830197,1.3113776916772366,0.836104513064135,13,11,0.35505734837271363,2,0.9382422802850249,0.10213776722088985,True,0.48610451306413766,0.33610451306413497,0.10213776722088985,0.10213776722088985,0.16389548693586503,big
AAPL,2023-01-13,1.189756760840019,0.8920906274495327,0.7587301587301643,14,13,0.3005792083435003,3,0.6031746031746075,0.15555555555555675,False,0.4087301587301615,0.25873015873017324,0.15555555555555675,0.15555555555555675,0.24126984126983578,medium
AAPL,2023-01-17,1.560997262706232,1.8939393939393898,1.2322274881516482,10,10,0.17651737028774767,2,1.4194312796208461,0.18720379146919794,True,0.8822274881516428,0.7322274881516481,0.18720379146919794,0.18720379146919794,0.23222748815164812,big
AAPL,2023-01-17,0.9715938589334523,0.5949757602467856,0.6183206106870153,6,9,0.3286862165863988,1,1.1145038167938996,0.4961832061068845,True,0.2683206106870185,0.11832061068702614,0.4961832061068845,0.38167938931298473,0.38167938931298473,small
AAPL,2023-01-20,1.1867905056759647,0.2768266919210489,0.23602484472050972,14,5,0.18697915415942734,3,0.39130434782609846,0.15527950310558875,True,0.11397515527949027,0.2639751552794903,0.15527950310558875,0.15527950310558875,0.7639751552794902,medium
AAPL,2023-01-25,1.1161517966443313,0.37031761857283996,0.3354838709677339,9,3,0.36277659438250015,2,1.0258064516128984,0.6903225806451645,True,0.014516129032263358,0.16451612903227528,0.6903225806451645,0.6903225806451645,0.6645161290322661,medium
AAPL,2023-01-27,0.9470616804273984,0.7526031822399387,0.802197802197796,11,6,0.21083260156481348,4,0.4945054945054995,0.007326007326000614,False,0.4521978021977877,0.302197802197796,0.3076923076922965,0.3076923076922965,0.19780219780220398,small
AAPL,2023-01-27,1.5204920865298146,0.609299475798204,0.40681818181817564,17,11,0.26865712917139045,3,0.4340909090909041,0.027272727272728448,True,0.056818181818182115,0.09318181818182435,0.027272727272728448,0.027272727272728448,0.5931818181818244,big
AAPL,2023-02-01,3.3194728310663253,0.9822646657571609,0.3057324840764321,14,3,0.2799898393464506,3,0.4522292993630556,0.14649681528662348,True,0.04426751592356999,0.19426751592356487,0.14649681528662348,0.14649681528662348,0.6942675159235678,huge
AAPL,2023-02-02,1.2515560340476972,0.5947831865758311,0.48118279569891875,8,5,0.4592904499459904,2,1.1155913978494651,0.6344086021505464,True,0.13118279569892566,0.018817204301073583,0.6344086021505464,0.6344086021505464,0.5188172043010812,big
