ticker,run_pct,run_bars,A_px,start,prior_sq,prior_rng,brk_vol,consol_breakout,L_atr,L_rsi,L_mr,L_de20,c1_ret,c1_batr,c1_vr,c1_rng,c1_cum,c1_contrib,c2_ret,c2_batr,c2_vr,c2_rng,c2_cum,c2_contrib,c3_ret,c3_batr,c3_vr,c3_rng,c3_cum,c3_contrib
AAPL,11.064532896994136,17,14.002857208251953,12.607856750488281,0,2.536530533960225,1.555137647280992,0,3.007041245831869,41.678570428320775,,-6.080895302671676,5.888846586165155,1.1550372295679436,1.555137647280992,5.243184628919132,5.94584266494487,0.5373785518374803,-2.7592833938082673,0.63869403877577,1.2195359866996172,3.340749209299143,3.0224966218608116,0.2731698346418151,2.7523445692872897,0.2796804777739902,1.0080332170242956,2.8712920456928654,5.858030712776778,0.5294422066717529
AAPL,15.38420623007512,10,15.102143287658691,13.088570594787598,0,2.3728462786377125,0.6097921497406316,0,2.761777649497961,52.80496694086895,,0.553774324153719,1.1033871324099718,0.15980120712901472,0.6097921497406316,0.9376784428826285,4.761525873590763,0.30950741314701635,0.054695243030077514,0.17688862220333387,0.7542011135310464,1.6400298240323699,4.818825444769341,0.31323198432876254,-1.7337408487336812,0.6367112831994365,1.0403072046736699,2.9087661745790254,3.0015386508705215,0.19510520113821075
AAPL,20.455058557657047,9,15.239286422729492,12.651429176330566,0,2.4295588330184428,1.20774632519955,0,3.0989663361635738,38.20276385230583,,-4.382508136605258,1.5436344809120988,0.8819556763940744,1.20774632519955,5.160605907220536,6.777890974548819,0.3313552466957674,-0.23265567672862228,0.33541147179768205,1.210985951990446,3.439595991645452,6.5294661497054305,0.3192103376922978,-2.005988742149744,0.4917828493844009,0.7997387106197112,2.5013479611397265,4.392497051670118,0.21473891356941882
AAPL,77.25421875695923,92,23.0,12.975713729858398,1,1.95017913221225,0.8086766767250945,0,2.4858188027989025,35.11293815263035,,-5.18966141849242,3.451874478760608,0.40810085430261756,0.8086766767250945,1.698925786193349,3.5230650075385737,0.04560352902696602,-0.7763444782533595,0.28244488705881365,0.8783958873739344,2.312432294744856,2.719369408633912,0.03520027064397626,2.4115735381031222,0.09843077451612105,0.9628620869317462,1.0413425163672174,5.196522539798922,0.06726522672046058
AAPL,18.70810384187444,35,22.138214111328125,18.6492862701416,1,2.1097255587053616,1.1442314404106937,0,2.923710337119616,30.60951511039528,1.6149946150421375,-6.316721352208771,5.826009063613858,1.6915444474783778,1.1442314404106937,4.897739018339867,7.487831621614186,0.40024535275745776,-0.7678791275929432,0.7254098729306936,1.3049440726235597,3.824259698293944,6.662454997889563,0.3561266846817986,2.4399883977648917,0.7795718488259327,1.1325423486217043,3.4299646594952287,9.265006524609268,0.4952402767762791
AAPL,23.696482509238727,41,25.18107032775879,20.35714340209961,0,1.6446584410238796,0.9718082200122525,0,2.104466570364242,38.88774767202708,1.2094444797646149,-3.6811201467061676,-0.015651026507637375,0.40482853567387,0.9718082200122525,1.7464448957682848,0.856141184592232,0.036129462854178535,1.7881936928659723,0.8525022098061955,0.9515938007189245,2.433523442369947,2.6596443401231107,0.11223793822927833,1.686722576794285,0.33727059858637914,0.8976628666303601,1.9528469758874827,4.391227738464684,0.18531137424099303
AAPL,17.5659918867593,10,21.2353572845459,18.0625,0,2.8969091991235825,1.1939296132849955,0,3.2368010041914532,25.530168100703975,1.945037693569202,-7.871736683883301,7.210810051472677,1.3995624403363864,1.1939296132849955,4.882181263718898,11.859616606293253,0.6751464239962826,-0.852001859331947,0.579746430543574,0.9389852839606768,3.0967554458578137,10.906570592966048,0.6208912461804723,0.14084816818830864,0.1406444652828011,0.5519141745803781,1.9173970619890939,11.062780466046712,0.6297839904153374
AAPL,10.72760781548455,10,19.821428298950195,17.901071548461914,0,2.775033864919026,0.9980845320547765,0,3.50501593266139,35.801220709118766,1.7423770217375039,-5.515482188733998,2.9046197123193322,0.5018795004825022,0.9980845320547765,2.7439597425200177,6.517968439425115,0.6075882481476331,-1.4216195199203285,0.29458983037628883,0.7280573757607417,1.5580223865641243,5.003688207867672,0.4664309409824994,-0.8702041384570097,0.48127315167322543,0.7736107501099492,2.1697030382618956,4.089941767550313,0.3812538487515147
AAPL,6.539372139223561,5,18.392499923706055,17.26357078552246,1,2.0942829727246473,1.3529519667393917,1,3.0292903978550383,32.73921863598274,1.8980146970424538,-7.027561987944268,4.150882263335063,0.7632682801510711,1.3529519667393917,3.347228322223885,4.698167059124306,0.718443140885714,-0.6737954551546286,0.5052723050963707,0.903759043698123,1.7346993089059435,3.992715567849726,0.610565583796825,-0.5331333432563429,0.10408924694505378,0.9398902299295114,1.1639999034423858,3.438295726599789,0.5257837684411134
AAPL,11.480464816744265,11,17.319286346435547,15.535714149475098,1,2.20833066839473,1.224544580171764,1,4.005838394498666,28.461823126181187,2.497336386092233,-12.575027383484718,2.2619807080974113,0.7004432681695282,1.224544580171764,3.857008902187068,3.4091967300695374,0.29695633273464866,1.8762598134555972,0.013456440785381947,0.8755776984262909,1.763158192214834,5.349421931733072,0.46595865386312024,-0.3142207894291852,0.010334193556549699,0.6515968351735631,1.7730881162915921,5.018392146480097,0.4371244741903454
