ticker,date,e,d_rsi,d_trend,w_trend,res_atr,mfe_atr,reach1,reach2,reach3,o1,o2,o3
GOOGL,2021-01-04,86.30650329589844,51.35935355726162,range,up,1.99480864147812,2.272636285391463,1,1,0,1.0,2.0,1.7061595575080812
AMZN,2021-01-04,159.3314971923828,56.06880302604319,up,down,0.5802306812292769,0.5706070796027342,0,0,0,-1.0,-1.0,-1.0
META,2021-01-04,268.94000244140625,48.187598254418276,down,range,1.5325577131804073,0.4717652312367097,0,0,0,-1.0,-1.0,-1.0
TSLA,2021-01-04,243.2566680908203,68.95278446919893,up,range,99.0,4.652534831652881,1,1,1,1.0,2.0,3.0
JPM,2021-01-04,125.87000274658203,66.5752722364511,range,range,2.139864581874985,6.71392689685634,1,1,1,1.0,2.0,3.0
XOM,2021-01-04,41.5,51.44315042937113,range,down,0.46264101139368863,7.641530593469167,1,1,1,1.0,2.0,3.0
WMT,2021-01-04,48.84333419799805,41.211720091648665,down,up,0.3189318799593574,1.6682521533928174,1,0,0,-1.0,-1.0,-1.0
GOOGL,2021-01-05,87.00250244140625,45.82016212963361,down,range,1.3271409062070405,4.3763885514435605,1,1,1,-1.0,-1.0,-1.0
AMZN,2021-01-05,160.92550659179688,48.36221560838544,up,down,0.3109819460639699,0.8636189540474479,0,0,0,-1.0,-1.0,-1.0
TSLA,2021-01-05,245.0366668701172,71.86002955290897,up,range,99.0,4.544361552007561,1,1,1,1.0,2.0,3.0
JPM,2021-01-05,125.6500015258789,62.62974432974918,range,range,2.177000659921732,6.647628233267486,1,1,1,1.0,2.0,3.0
XOM,2021-01-05,43.5,52.90399246464761,range,down,0.7429624242799118,5.805824174493657,1,1,1,1.0,2.0,3.0
GOOGL,2021-01-06,86.14399719238281,48.93451476686732,down,range,1.853219287478618,5.910856866644308,1,1,1,1.0,2.0,3.0
AMZN,2021-01-06,156.91900634765625,51.61041744312937,up,down,0.7515727491073513,3.1051465517967256,1,1,1,1.0,2.0,3.0
META,2021-01-06,263.30999755859375,46.34584888235791,range,range,0.7007311925507239,1.436363693108184,1,0,0,1.0,-1.0,-1.0
TSLA,2021-01-06,251.9933319091797,72.47505580025269,up,range,99.0,3.923767483844284,1,1,1,1.0,2.0,3.0
JPM,2021-01-06,131.5500030517578,61.90539131163048,range,range,2.7724741139905347,4.156853620012082,1,1,1,1.0,2.0,3.0
XOM,2021-01-06,44.61000061035156,61.75488831246596,range,down,0.33617358043021345,4.53134489590979,1,1,1,1.0,2.0,3.0
WMT,2021-01-06,48.88666534423828,48.780887209688636,down,up,0.2466993770612213,1.551335634660582,1,0,0,1.0,-1.0,-1.0
GOOGL,2021-01-07,88.71700286865234,45.46308844556539,down,range,0.3747518245867536,4.183548359561357,1,1,1,-1.0,-1.0,-1.0
META,2021-01-07,268.739990234375,39.2219122017203,range,range,1.4693201559915412,1.249693899407391,1,0,0,-1.0,-1.0,-1.0
TSLA,2021-01-07,272.0133361816406,74.79375415011785,up,range,99.0,1.960154563440177,1,0,0,1.0,0.8762697553451061,0.8762697553451061
META,2021-01-08,267.57000732421875,45.604899008762125,range,range,1.6498448785981863,1.6393797247593904,1,0,0,-1.0,-1.0,-1.0
TSLA,2021-01-08,293.3399963378906,80.01209877335235,up,range,99.0,0.5494072748723082,0,0,0,-1.0,-1.0,-1.0
JPM,2021-01-08,136.02000427246094,76.15234608802194,range,range,0.946666039820993,2.1236861344672024,1,1,0,1.0,2.0,-1.0
XOM,2021-01-08,45.459999084472656,66.75692842756618,range,down,0.6875440404952291,4.02500320935395,1,1,1,1.0,2.0,3.0
