ticker,leg1,pull,leg2,corr_bars,resume,hold,swing,sig,rsi_at_peak,mr_at_peak,mr_at_corr,pb_bucket
AAPL,27.936698625663762,12.44391557783197,8.550153272612965,9,0,21.54393465568426,38.77548245007895,3.1134523253828927,89.60202559655878,,,10-20%
AAPL,8.550153272612965,7.034249555799346,7.964881410257371,5,1,8.902182029258633,17.0960442514292,8.897705938243995,56.980165562152045,,,5-10%
AAPL,7.964881410257371,1.3226609704963115,8.87712188886556,3,1,15.94428005152988,17.449055530215063,15.936282911504108,56.19096689269991,,,0-5%
AAPL,8.87712188886556,9.904466398352604,12.749002584623941,10,1,10.549357088822129,22.657868972541195,10.54405741027773,69.52623207605802,,,5-10%
AAPL,8.09747208764203,3.2620035742902496,10.926120621677986,7,1,15.946918192177453,19.808332276922478,14.921741599668326,55.04550080890293,,,0-5%
AAPL,10.926120621677986,0.4552716772616861,29.69438586233752,4,1,43.159974526241406,43.76495090120101,9.897945302462352,71.66276058285743,,,0-5%
AAPL,29.69438586233752,2.609876030005786,18.515451524243744,3,1,49.6463017071373,53.60788700634426,1.1142346918784796,85.88501862805883,,,0-5%
AAPL,18.515451524243744,15.603721168971225,8.927567011957743,28,0,8.902218329317947,28.995997878594892,-1.0889934231183007,69.28639673081545,,1.6149946150421375,10-20%
AAPL,8.927567011957743,2.3263531676235356,4.097192830496963,2,1,10.702675071074433,13.290539478006458,10.697298733538885,53.669141471866986,-0.031187637177128375,0.44860960898629426,0-5%
AAPL,4.097192830496963,3.1255929515780574,6.881652433732696,7,1,7.733240116872016,11.160799834364278,7.729348496813593,58.65635172129251,-0.409170331924998,0.6709409738364761,0-5%
AAPL,17.515700023044626,0.8717244532189403,4.523810093345867,11,1,21.71113152556082,22.731887121953164,12.664301726898053,73.9429595342654,-0.8709637148844777,-0.0449698008621631,0-5%
AAPL,11.088152499518753,11.49115409802849,5.820788731170745,10,0,3.9960066016354094,17.454359161876507,3.993983598334605,51.782071719051736,0.19117076161592808,1.7423770217375039,10-20%
AAPL,5.820788731170745,11.494811801659301,5.780784477335303,9,0,-0.9790089243612035,11.83806045993604,-0.978544419899019,53.63051157351367,0.16485768150915295,1.8980146970424538,10-20%
AAPL,5.780784477335303,14.421898554508713,9.104748709246433,2,0,-1.282722150685311,15.311859086666225,-1.2821057896099552,46.855018165594416,0.728640951579715,2.497336386092233,10-20%
AAPL,9.104748709246433,12.476811006040963,10.363050461227806,14,0,5.3378349401622485,20.311328873581434,5.335141022692169,48.63375077918328,0.6242554691546275,1.730645153752697,10-20%
AAPL,17.44552176155182,5.250079993367653,3.4861337707580526,7,0,15.108891471830384,21.439829757924276,15.101312026094483,64.94788329458777,-0.43532156870006516,0.641399767050459,5-10%
AAPL,3.4861337707580526,11.829322686302651,28.045795375518807,20,1,16.784649818539854,32.40964309014053,6.380581238992078,56.28807146937814,0.0036583106446440353,1.2636596772845599,10-20%
AAPL,9.002048336177717,2.8309929308990593,8.375445561412981,5,1,14.737162399457825,18.031455555399365,15.768983635379087,56.20141741332132,-0.09137885144936995,0.2209986726409958,0-5%
AAPL,8.972637463167866,3.016377014776817,3.068438733039256,9,0,8.878510124334362,12.216396079502168,4.710255922168627,73.37062758899347,-1.0736646303007304,-0.04146335915254431,0-5%
AAPL,3.068438733039256,5.6265098484596185,4.0374766418959025,12,0,1.1465074529726367,7.129802872052505,1.1459091992461534,62.573029590002314,-0.6424463955208136,0.5531057778033951,5-10%
AAPL,4.0374766418959025,10.183726516043432,9.067127397178435,11,0,1.865142730539316,13.370687189826358,1.8641851591740588,56.379903137871295,-0.36242948198294206,1.1981316535077913,10-20%
AAPL,14.759832342449341,1.4922363941368577,12.673766639249632,3,1,27.324700974235505,29.204225689125494,9.561765440071168,71.73450043574982,-0.9368713861887956,-0.5801554101971697,0-5%
AAPL,12.673766639249632,4.127320307319297,8.875604901387797,11,1,17.56108596818712,22.57424499366113,3.201779494245982,81.22463137799863,-1.2509693717092962,0.20124648635354384,0-5%
AAPL,8.875604901387797,3.69993849488746,9.035260060167047,8,1,14.27049839973535,18.61279894630815,6.155395719534829,66.74466169052502,-0.8723667013373887,0.23048229040856336,0-5%
AAPL,9.035260060167047,5.140372730993761,4.745383842485194,5,0,8.288612733809257,14.109401673673927,6.058408323368436,76.27611014476439,-1.1243690504169255,0.4181448935457303,5-10%
AAPL,20.565918977144904,9.226189298385687,6.707263383709017,14,0,16.732860972862774,28.552592713931233,15.706727734773086,76.4341050233787,-1.0390629778742781,1.2769258952665,5-10%
AAPL,6.707263383709017,6.71582940912816,5.411255302468582,5,0,4.877402469536739,12.381465831679085,4.874938768301962,55.289606297542115,-0.3233808299250757,1.082519812410402,5-10%
AAPL,5.411255302468582,5.374523843986003,24.700444223826963,5,1,24.333583203298804,31.348303624090654,17.464290180202614,52.66445299856242,-0.049830053942009046,1.0818802521599795,5-10%
AAPL,24.700444223826963,5.840963401418143,2.450785959461522,12,0,20.244369817685612,27.65658520225066,17.76352464429809,76.33250617183849,-1.1541711420144842,0.5028822584925162,5-10%
AAPL,4.6573126722194385,4.250915690981467,6.023510936106126,6,1,6.194483596098447,10.861357346465374,6.279494107844585,59.30452870572927,-0.460254823398559,0.716624695384306,0-5%
AAPL,9.99417644698454,21.92019608703991,11.821173862813694,25,0,-4.014355915989609,22.896779283752654,-4.012373738031605,64.51254922787265,-0.8938055205146936,2.2763151343104613,>20%
AAPL,11.821173862813694,4.969209824696611,11.334183209901642,13,1,18.25876333451587,24.395190575887646,18.249608952848618,53.04228453079085,0.16277264139815564,1.136363467780044,0-5%
AAPL,11.334183209901642,6.4098358154296875,4.484150230248284,8,0,8.820232759887125,16.226575242653507,8.815797643507173,64.58400950471339,-0.5658247014596262,0.7936845105795646,5-10%
AAPL,2.3063087286633985,0.16622029769221522,7.190430563815441,4,1,9.430291365201915,9.562572820200577,9.425551219519335,46.49110277354717,0.6016915769957029,0.4826584420877385,0-5%
AAPL,7.190430563815441,1.7862381604960609,9.834936006444376,4,1,15.579557243443345,17.63254081479887,10.99546609131028,63.93603666249134,-0.6124071894973795,-0.14593388523661693,0-5%
AAPL,11.146787394760125,2.679018367988913,0.9312280202080578,4,0,9.126445928247541,12.081817422541208,9.121857705283421,59.564263463088004,-0.6117344752356182,0.028106790933336585,0-5%
AAPL,0.9312280202080578,6.681533530776056,18.839630775107185,15,1,11.882046548362647,19.846298715996777,6.721065326416609,52.75937481003656,-0.0028730740782483464,1.2857797558236321,5-10%
AAPL,18.839630775107185,3.602116393259097,7.720029591399044,18,1,23.35286908003876,27.91408543725481,13.307067907827562,72.742979009992,-0.9080568475303109,0.2967728026500466,0-5%
AAPL,7.720029591399044,0.7659823318863144,3.185169014680374,4,1,10.249696850241008,11.051094596548817,9.552553130077722,64.5654862488986,-0.6976248330623768,-0.39069455742953413,0-5%
AAPL,3.185169014680374,9.105764135339028,5.543468603825119,24,0,-1.0614447687946864,8.805206462813054,-1.060939046410292,67.23346820057087,-0.7689744132325801,1.2150162125412898,5-10%
AAPL,5.543468603825119,2.2048929740982843,7.0112743864773925,5,1,10.403129455547319,12.843410784644915,10.397902890819566,50.86001848534115,-0.2647948835620338,0.34393286007676643,0-5%
AAPL,7.0112743864773925,0.5224397046857198,19.638402831106358,3,1,27.307717841203708,27.92657952519436,9.00055191966922,64.0463927654477,-0.6426249245098518,-0.34172552136049195,0-5%
AAPL,19.638402831106358,0.20150692613488064,3.850599854850046,5,1,23.944836315497103,24.145198996865858,2.3938883361437124,83.03098281893602,-1.2455775697957738,-0.89063388503654,0-5%
AAPL,3.850599854850046,1.6594912642322743,9.934330000956704,4,1,12.222862107983994,14.067461152403927,0.28153788202538443,69.08143803651056,-0.8993617494662277,-0.17040143691397314,0-5%
AAPL,12.019769733306768,2.3236969899276825,4.350865750129939,3,1,14.127346474357205,16.79359952800762,11.358553720965503,63.99943912548411,-0.7168205036886109,0.014591682450234095,0-5%
AAPL,4.350865750129939,8.229198262032794,6.589171682404352,15,0,2.023655853707422,11.12672344648128,2.022619025780581,67.09085333293967,-0.8755356511366913,1.1102613338951792,5-10%
AAPL,6.589171682404352,2.7980341864575133,12.988851340279908,2,1,17.01409958196696,20.3338807370676,10.685245992857606,63.19344146375787,-0.879747459647907,0.0822498955003322,0-5%
AAPL,4.384358264569769,4.075503069964256,5.9268445503273615,8,1,6.014730094755088,10.47105691376763,6.01169772970771,65.7770759550695,-0.8864724963316911,0.5393743262217007,0-5%
AAPL,5.9268445503273615,12.74684343686912,13.880180900690952,16,0,5.2032054683505224,20.529682196306496,5.2005788656163565,67.18876874078245,-0.9190180360129362,1.3615585792675289,10-20%
AAPL,13.880180900690952,1.0723043205024265,2.1338144052973567,2,1,15.012973599495671,16.210172605528584,15.00544211269592,62.809241470224684,-0.5800736923114346,-0.2739442564553706,0-5%
AAPL,2.1338144052973567,7.384568791897657,6.935453158957627,13,0,1.1020337676356948,9.117257262833489,1.1014577507518775,61.13660389716513,-0.39395178987027935,1.0525429138794393,5-10%
AAPL,6.935453158957627,8.931776076250111,17.077368599759875,8,1,13.964879791715873,25.097214658736387,12.350809238580162,60.04641403833604,-0.5901603407458328,1.1712219058857356,5-10%
AAPL,4.797719482358747,0.5238070194424672,19.461845475416805,10,1,24.487518470405426,25.093289709776165,10.55566340469598,57.86988198284097,-0.5406971476884584,0.18223662840685603,0-5%
AAPL,19.461845475416805,3.7642674086194434,3.7008206674715507,3,0,19.169629980599296,23.782914142513953,6.0498373526086,79.61994091530362,-1.1377964718108513,0.009496181222109878,0-5%
AAPL,3.7008206674715507,3.5510836159521704,6.273761282853528,4,1,6.2432283139887375,10.106762604508747,6.240081699831745,64.97208029684862,-0.6619614696136319,0.35317650299272246,0-5%
AAPL,6.273761282853528,7.592540966037081,0.2984375839384611,6,0,-1.5520373002878327,6.490922128386612,6.484357853988776,67.99080388369757,-1.0028548455883757,1.0038168840575812,5-10%
AAPL,0.2984375839384611,18.815380496416818,5.841262451179214,22,0,-13.866735857158664,6.057132557648493,-13.859827489230081,44.01688632657436,0.9524242507245025,2.097215955253328,10-20%
