ticker,pole,flag_depth,retrace,flag_bars,run_to_top_brk,run_to_top_flag,rsi_at_top,mr_at_top,next_pb,resume,leg2,fwd10,entry_brk,top_px,nl_px,leg2top_px
AAPL,13.257258025287703,2.1250748570233196,0.18154595086393693,4,27.705127287815994,30.893974209708624,85.88501862805883,,5.835364020528791,1,24.753015674118693,6.310731146531867,15.325357437133789,19.578929901123047,18.43642807006836,23.0
AAPL,9.593180121813214,4.386402798359582,0.501105812528605,2,9.317922160298448,14.829868123776151,73.9429595342654,-0.8709637148844777,3.6526789279691685,1,7.480176978225517,6.842826041937777,22.233928680419922,24.31678581237793,23.428571701049805,25.18107032775879
AAPL,19.45087447716229,3.6526789279691685,0.22431674865955714,11,3.18434915159766,7.430176978225517,68.78735102575368,-0.7054257906635876,11.561965024894082,0,4.6892749192832595,-0.24305415455814217,24.39214324951172,25.18107032775879,22.269643783569336,23.313928604125977
AAPL,11.110862988704447,4.527984367011531,0.4528075372088424,5,8.085479373699938,13.61750030732431,58.69113237151999,-0.2557691572278093,4.982844296328942,0,3.2983305566256504,3.609526205375291,17.809999465942383,19.258928298950195,18.299285888671875,18.902856826782227
AAPL,13.667500307324316,4.982844296328942,0.4144045676595275,7,5.294713963313819,12.198720463084804,73.37062758899347,-1.0736646303007304,6.3184622884602,0,6.139571221510121,2.670522858215807,19.498571395874023,20.540714263916016,19.242856979370117,20.424285888671875
AAPL,18.20350756989838,3.98405346567093,0.2587023913825541,3,9.999785839006798,14.6002945309545,81.22463137799863,-1.2509693717092962,5.681221833247528,1,10.920246234130083,5.449968637067948,21.592500686645508,23.762500762939453,22.412500381469727,24.860000610351562
AAPL,14.650294530954508,5.681221833247528,0.44460113419650193,11,3.5657144696946865,10.870246234130082,66.74466169052502,-0.8723667013373887,6.194693796130061,1,11.21354976560549,-2.1152430483234674,23.99250030517578,24.860000610351562,23.31999969482422,25.934999465942383
AAPL,27.054347162661347,8.19574119349604,0.3848936145429934,13,3.9305154441418413,15.335334555818651,64.58400950471339,-0.5658247014596262,10.353739078033698,0,8.036034386437208,1.6627441191579662,29.770000457763672,30.954999923706055,27.75,29.979999542236328
AAPL,11.1765970202358,3.4698780473456328,0.345158041110951,4,7.226726407640766,11.971967780416042,74.5990774926829,-0.8963877261584913,3.6277739604737667,1,3.9493123701399346,4.761900593178492,26.145000457763672,28.047500610351562,27.030000686645508,28.09749984741211
AAPL,13.31317827796088,3.9851930119264285,0.3391939000622089,4,-3.3432087107084505,0.7747406040127636,50.86001848534115,-0.2647948835620338,3.7521127188592227,1,9.02540105595049,1.6766955262884853,29.075000762939453,28.11750030517578,27.0625,29.5049991607666
