ticker,early_slope,early_gain,early_vol_ratio,early_body_atr,early_accel,early_green_frac,start_rsi,start_atr_pct,start_dist_ema20,start_mr,early_volz,leg_amp,leg_bars,leg_velocity,parabolic,corr_depth,pb_frac,lc_bucket,sp_bucket
AAPL,1.0605088011446706,5.302544005723353,1.0151974081022501,2.103385993921078,-0.18162393322501585,0.5,79.76878224843267,1.5897583160381046,-3.053161081739619,,,14.077758123325776,13,1.0829044710250597,0,1.6568836770352178,0.11769513743029066,2-3x,fast
AAPL,1.3060066947798608,6.530033473899303,1.1938628514464227,1.2633046759924877,1.2094834997289368,0.5,77.46414864758333,1.870979782973051,3.7258935738423773,,0.8132917655467486,14.038158509047086,10,1.4038158509047087,0,12.44391557783197,0.8864350384569539,1-2x,fast
AAPL,1.710030654522593,8.550153272612965,1.1414842630523487,1.1550372295679436,0.3238631931084243,0.5,41.678570428320775,3.007041245831869,-6.080895302671676,,0.3782821921030956,8.550153272612965,5,1.710030654522593,0,7.034249555799346,0.8227044979802622,1-2x,v.fast
AAPL,1.881382988127691,9.406914940638455,0.8521510841381503,1.2192134746913112,-1.5471219195397794,0.8333333333333334,43.12764420782871,3.0463436706102445,-4.192124472177438,,-0.46915705308005085,7.964881410257371,7,1.1378402014653388,0,1.3226609704963115,0.1660616024731964,1-2x,v.fast
AAPL,0.5793429378568418,1.1586858757136835,0.7324991160481805,1.2192095448094988,-1.0486918893798942,0.6666666666666666,52.80496694086895,2.761777649497961,0.553774324153719,,-0.8899947740254478,1.1586858757136835,2,0.5793429378568418,0,1.0933485817944109,0.943610865301151,1-2x,med
AAPL,1.6681561729798964,8.340780864899482,1.0505480823694668,1.5717373853870067,0.6802080366609453,1.0,52.2449968630402,2.603041070326158,0.30055452017460044,,0.2025612950967577,8.819807781998124,6,1.469967963666354,0,9.904466398352604,1.1229798475391206,1-2x,v.fast
AAPL,1.4920810721010078,7.460405360505039,1.1226724765640197,0.8819556763940744,1.370843696198242,0.6666666666666666,38.20276385230583,3.0989663361635738,-4.382508136605258,,0.34088374707567387,12.749002584623941,9,1.4165558427359934,0,6.457304320768737,0.5064948632575094,<1x,v.fast
AAPL,0.6149622052977017,3.0748110264885087,0.714341294410542,0.8170799836800888,-0.021928555911798243,0.3333333333333333,48.36369019123814,3.028290598734714,-1.2421796491298787,,-0.848066501282417,3.031542121185016,6,0.5052570201975027,0,2.043089021565489,0.6739438015022053,<1x,med
AAPL,0.490278140036618,2.45139070018309,0.6903879871758671,0.43701685112238936,-0.5658926047846884,0.3333333333333333,48.862163964103004,2.710962756882135,-0.8529351320894142,,-0.8643064273794282,2.45139070018309,5,0.490278140036618,1,10.501437425248792,4.283869325466747,<1x,slow
AAPL,1.437412162784967,7.187060813924835,0.8429268292024098,0.5944928634974804,0.14937519262384902,0.5,35.11293815263035,2.4858188027989025,-5.18966141849242,,-0.551549024982709,8.09747208764203,6,1.3495786812736716,0,3.2620035742902496,0.40284221285165794,<1x,v.fast
AAPL,0.8553631466233979,4.276815733116989,0.9052383626212409,1.0812537027400366,1.2407304339892524,0.3333333333333333,44.586771363511964,2.059420926364696,-1.6250020492608728,,-0.5032619674285814,10.926120621677986,16,0.6828825388548742,0,0.4552716772616861,0.041668190662146234,1-2x,med
AAPL,0.6304456658697125,1.8913369976091376,0.9593926695408613,0.424819039312528,-0.8057397462635429,0.75,67.0656545215782,1.360752508246254,2.4745665360795392,,-0.1579988374877644,1.8913369976091376,3,0.6304456658697125,0,1.7159573855111263,0.9072721506956661,<1x,med
AAPL,1.7159432352425945,8.579716176212973,1.5278841348006889,0.9580167734360528,-1.9921474557173116,0.5,57.39379475237159,1.4492394508199862,0.9544624730259336,,1.2114869225746334,18.37730629216449,16,1.1485816432602807,0,-0.9122450893680184,-0.04963976084770221,<1x,v.fast
AAPL,0.8044436282143976,4.022218141071988,1.1365225788687234,1.0760871447388254,-0.7689796233961169,0.6666666666666666,77.03875969898198,2.0249679423562634,6.8033463644556615,,0.2133053550062832,8.414802438240317,9,0.9349780486933685,1,2.609876030005786,0.31015297734685227,1-2x,med
AAPL,1.4272248532086815,7.136124266043407,0.9119812684197752,0.9848976552240934,0.49974364342814415,0.8333333333333334,70.2609066337036,2.045976418328348,3.4879803543957104,,-0.22831175792144462,16.474941662669075,16,1.0296838539168172,0,2.925747124647742,0.17758770771718455,<1x,fast
AAPL,1.2235838343064782,6.1179191715323915,0.9283522442003417,1.397284961167538,-2.1166889977298666,0.6666666666666666,66.80265963022899,1.9733437364203152,2.9016214298103997,,-0.2109438759868596,4.8186150453439005,6,0.8031025075573167,0,10.845905634866881,2.2508346346004524,1-2x,fast
AAPL,0.20591832240224978,0.41183664480449955,0.6167521123674731,0.33474558817639516,0.0594319204133313,0.3333333333333333,42.77232061295455,2.955259756021689,-3.1043399206640405,1.1430850904390437,-1.0529120257035798,0.41183664480449955,2,0.20591832240224978,0,7.035684284053663,17.0836771637782,<1x,slow
AAPL,1.2032880823929744,6.016440411964872,1.0797077824910921,1.6915444474783778,-2.188309548639486,0.3333333333333333,30.60951511039528,2.923710337119616,-6.316721352208771,1.6149946150421375,0.2107955265184288,8.927567011957743,8,1.1159458764947179,0,2.3263531676235356,0.26058086873025726,1-2x,fast
AAPL,0.24384805426568473,1.2192402713284236,0.8793166019197028,1.1155344352906875,-0.6522308931718058,0.6666666666666666,47.885989735591416,2.795715574718758,-0.4951695073986068,0.44860960898629426,-0.4753711322768779,1.2192402713284236,5,0.24384805426568473,0,-0.8736395636280946,-0.7165442154204932,1-2x,slow
AAPL,0.39051758522087116,1.9525879261043557,0.7692614221000205,1.1772121196425562,1.3279706749071445,0.8333333333333334,53.04241708345306,2.4466876317595876,1.1338000762590663,0.10785505061692528,-0.8839457029415415,1.9525879261043557,5,0.39051758522087116,0,3.1255929515780574,1.6007437666655995,1-2x,slow
AAPL,1.2944382080627732,6.4721910403138665,1.040911757872019,0.8630865016572833,-1.3106192143903441,0.6666666666666666,46.797958960607026,1.893856377012245,-0.9032318299989193,0.6709409738364761,0.16845203051320803,6.881652433732696,7,0.9830932048189566,0,1.5307233490146879,0.2224354344766587,<1x,fast
AAPL,0.51494424987868,2.5747212493934,0.9458644423244514,0.3669241130464868,-0.2617474152543978,0.5,56.54409236539971,1.8515325011285289,1.283482457125377,-0.04532654365169734,-0.22661961825759777,2.5747212493934,5,0.51494424987868,0,6.405457277260762,2.487825537917892,<1x,med
AAPL,1.107535370158852,5.537676850794259,1.1575710860600725,0.8525022098061955,0.34714963953182165,0.6666666666666666,38.88774767202708,2.104466570364242,-3.6811201467061676,1.2094444797646149,0.41906166377743737,17.515700023044626,23,0.7615521749149837,0,0.8717244532189403,0.04976817666847749,<1x,fast
AAPL,0.9647818089180508,4.823909044590254,1.1409524397926556,0.47787543042688,-1.082500283601415,1.0,59.3844593654742,1.7227423538511724,1.4952138251534033,-0.0449698008621631,0.36431939469587266,4.523810093345867,7,0.6462585847636954,0,9.175959663998883,2.0283697756225276,<1x,fast
AAPL,0.4384672996070306,2.192336498035153,1.0481401816034623,1.319991389293988,1.7605135983814801,0.6666666666666666,36.270851132233986,2.1108548076232703,-4.394768063817678,1.3279105997766303,0.19148137569085924,1.3776813223630837,6,0.22961355372718062,0,18.139649177807605,13.166796183818013,1-2x,slow
AAPL,2.3442242572350493,11.721121286175247,0.9908680008551255,1.3995624403363864,-1.447875873530486,0.6666666666666666,25.530168100703975,3.2368010041914532,-7.871736683883301,1.945037693569202,0.011431317565295258,11.088152499518753,10,1.1088152499518753,0,11.49115409802849,1.0363452431347087,1-2x,v.fast
