ticker,has_res,level_dist_atr,age_bars,touches,res_drop_dep,res_drop_spd,reached,stalled,broke,short,cont_atr,apex_at_res,apex_placebo
AAPL,True,1.0233978632327898,36.0,1.0,0.5398056699588125,0.26990283497940626,True,False,True,False,7.54003425705326,False,False
AAPL,True,2.918390206744965,7.0,1.0,1.916895335162676,0.2738421907375252,True,False,True,False,1.3385683081603563,False,False
AAPL,True,1.0335625015160257,200.0,1.0,0.5398056699588125,0.26990283497940626,True,False,True,False,8.951041286714247,False,True
AAPL,True,1.0229255234294201,74.0,5.0,0.6809683133241559,0.2269894377747186,True,False,True,False,1.5938606992969708,True,False
AAPL,True,1.7032409172233716,154.0,2.0,0.5295537730706273,0.13238844326765684,True,True,False,False,,True,False
AAPL,True,1.2890031230299102,171.0,2.0,0.5295537730706273,0.13238844326765684,True,False,True,False,5.590676335932176,False,False
AAPL,True,2.7306226364578836,11.0,1.0,0.7177125311840356,0.06524659374400323,True,False,True,False,11.972730021392168,False,False
AAPL,True,1.8616625432344467,13.0,2.0,0.32899829695000105,0.08224957423750026,True,False,True,False,2.1808046935031378,False,False
AAPL,True,1.1552590473757085,13.0,1.0,0.7343477931713217,0.36717389658566085,True,False,True,False,2.845040937566936,False,True
AAPL,True,1.0979674574077676,216.0,2.0,0.2714522696425981,0.13572613482129905,True,False,True,False,3.3898412762685517,True,False
AAPL,True,1.0052606394922659,57.0,3.0,0.5083596927248165,0.1694532309082722,True,False,True,False,2.952953128508517,True,False
AAPL,True,2.0233121598587456,4.0,2.0,0.35273368606703276,0.08818342151675819,True,False,True,False,13.125589139595986,False,False
AAPL,True,1.1432810217517893,160.0,2.0,0.4560500183890961,0.11401250459727402,True,False,True,False,5.203899823146304,True,False
AAPL,True,1.4237783207448211,4.0,1.0,0.43519257271342154,0.10879814317835539,True,False,True,False,23.853762942938875,False,False
AAPL,True,3.096541489645021,5.0,1.0,1.1500391654205007,0.23000783308410014,True,True,False,False,,True,False
AAPL,True,2.0708993609533675,6.0,1.0,0.7526031822399387,0.12543386370665643,True,False,True,False,3.5887013770557585,False,False
AAPL,True,1.2082232184271102,509.0,5.0,0.41441314883753844,0.20720657441876922,True,False,True,False,10.64746711238848,True,True
AAPL,True,1.296561763095614,6.0,1.0,0.8896321070234198,0.14827201783723662,True,False,True,False,1.4284155017155136,False,False
AAPL,True,1.7447765321686897,65.0,1.0,0.8896321070234198,0.14827201783723662,True,False,True,False,2.270978978378292,True,False
AAPL,True,1.7140024486892806,41.0,5.0,0.41591801424103275,0.41591801424103275,True,False,True,False,12.40028302163957,False,False
AAPL,True,1.8199346665663327,4.0,1.0,1.3027452974072262,0.32568632435180656,True,True,False,False,,True,False
AAPL,True,3.6797120488109503,11.0,1.0,1.7231494457892627,0.1566499496172057,False,False,False,True,,False,True
AAPL,True,2.74131050253351,5.0,1.0,1.1787819253438003,0.23575638506876007,True,False,True,False,0.6460413286225576,False,False
AAPL,True,1.0497324061106823,123.0,3.0,1.1787819253438003,0.23575638506876007,True,False,True,False,3.132266050491711,False,True
AAPL,True,2.1576804493342148,1.0,1.0,0.7182141701714743,0.7182141701714743,True,False,True,False,1.3231059359124413,True,True
AAPL,True,2.048171948800688,29.0,1.0,0.5456936226166891,0.09094893710278151,True,False,True,False,7.662988153271806,False,False
AAPL,True,2.478891608842727,464.0,4.0,0.41591801424103275,0.41591801424103275,True,False,True,False,2.5718500441742433,True,True
AAPL,True,2.2001898672380436,4.0,2.0,0.33815143880121395,0.08453785970030349,True,False,True,False,7.602636273921645,True,True
AAPL,True,1.258964497688447,398.0,4.0,1.1787819253438003,0.23575638506876007,True,False,True,False,5.257027429537287,True,True
AAPL,True,1.7930053333829175,269.0,4.0,0.5456936226166891,0.09094893710278151,True,False,True,False,3.944611733442432,True,True
AAPL,True,1.1274434659528678,270.0,4.0,0.4005515792238396,0.08011031584476792,True,False,True,False,0.5261402841113455,True,True
AAPL,True,1.0023987444278137,138.0,3.0,0.49596421277838165,0.05510713475315352,True,False,True,False,3.187113956642182,True,False
AAPL,True,1.0397647317186045,34.0,2.0,0.8738429671823567,0.21846074179558916,True,False,True,False,2.6814985186427207,True,False
AAPL,True,1.187827104676332,186.0,3.0,0.28867985728186385,0.09622661909395462,True,False,True,False,3.690748503815626,True,True
AAPL,True,2.0114914257989995,5.0,1.0,0.49668874172184435,0.09933774834436887,True,False,True,False,5.506869968990889,True,True
