ticker,run_pct,run_bars,speed,early_slope,retrace_frac,drop_from_high,pb_bars,start_atr,start_rsi,start_de20,start_mr,early_vol,reversal
AAPL,15.942032475346704,13,1.226310190411285,1.0605088011446706,0.22989934364873474,3.1611165720148477,2,1.5897583160381046,79.76878224843267,-3.053161081739619,,1.0151974081022501,0
AAPL,16.028921100040442,10,1.6028921100040443,1.3060066947798608,0.9212599855016991,12.72683006980575,9,1.870979782973051,77.46414864758333,3.7258935738423773,,1.1938628514464227,0
AAPL,9.050485707733019,5,1.8100971415466038,1.710030654522593,0.9352110863258786,7.761647750190281,5,3.007041245831869,41.678570428320775,-6.080895302671676,,1.1414842630523487,0
AAPL,10.417079015080372,7,1.4881541450114817,1.881382988127691,0.6920795181209953,6.529286129730451,3,3.0463436706102445,43.12764420782871,-4.192124472177438,,0.8521510841381503,0
AAPL,6.038539790668578,2,3.019269895334289,0.5793429378568418,0.7550832517849149,4.299946293273906,2,2.761777649497961,52.80496694086895,0.553774324153719,,0.7324991160481805,0
AAPL,13.702613335385891,6,2.283768889230982,1.6681561729798964,1.3465457352171364,16.227591439493374,10,2.603041070326158,52.2449968630402,0.30055452017460044,,1.0505480823694668,1
AAPL,20.455058557657047,9,2.2727842841841164,1.4920810721010078,0.4961362635499795,8.425130870393723,4,3.0989663361635738,38.20276385230583,-4.382508136605258,,1.1226724765640197,0
AAPL,4.754964925089789,6,0.7924941541816315,0.6149622052977017,0.8670606462146058,3.9357017241372563,1,3.028290598734714,48.36369019123814,-1.2421796491298787,,0.714341294410542,0
AAPL,3.7587146653019827,5,0.7517429330603965,0.490278140036618,3.02300275158582,10.95098836978331,12,2.710962756882135,48.862163964103004,-0.8529351320894142,,0.6903879871758671,1
AAPL,9.107680407984054,6,1.517946734664009,1.437412162784967,0.5660320870114663,4.724909676282897,7,2.4858188027989025,35.11293815263035,-5.18966141849242,,0.8429268292024098,0
AAPL,13.257258025287703,16,0.8285786265804814,0.8553631466233979,0.18154595086393693,2.1250748570233196,4,2.059420926364696,44.586771363511964,-1.6250020492608728,,0.9052383626212409,0
AAPL,3.0358725328728116,3,1.0119575109576038,0.6304456658697125,0.9299757551819622,2.740101851899998,3,1.360752508246254,67.0656545215782,2.4745665360795392,,0.9593926695408613,0
AAPL,25.441534725392174,16,1.5900959203370109,1.7159432352425945,0.3715569431519118,7.535764683008485,1,1.4492394508199862,57.39379475237159,0.9544624730259336,,1.5278841348006889,0
AAPL,12.654388122482835,9,1.4060431247203151,0.8044436282143976,0.5194872773316219,5.835364020528791,3,2.0249679423562634,77.03875969898198,6.8033463644556615,,1.1365225788687234,0
