feature,mean_ref,std_ref,missing_rate_ref,mean_oos,std_oos,missing_rate_oos,mean_shift_in_ref_std,std_ratio_oos_over_ref,missing_rate_delta
return_1d,-0.0008389093851641189,0.05190915145773258,0.0,1.2848149169421059e-05,0.051537133487380586,0.0,0.016408619875574154,0.9928332873895095,0.0
return_3d,-0.002229348945822945,0.08393639806602254,0.0,0.00012724004756257273,0.08552991959426723,0.0,0.028075888978841765,1.0189848690789811,0.0
return_5d,-0.003384745846494396,0.10499456518902764,0.0,0.00027645248637044907,0.10852763229613142,0.0,0.03487036044459428,1.0336499998904038,0.0
return_10d,-0.006547878371830457,0.1397497241237606,0.0,0.0009843185587444887,0.15012953317947403,0.0,0.05389775885285131,1.0742742722448682,0.0
return_20d,-0.016008090611488366,0.1896369674478029,0.04270414129023465,0.0016430677424607205,0.20687692103808536,0.0027493075501791317,0.09307867865376789,1.0909102999394236,-0.03995483374005552
return_60d,-0.06381562094777857,0.30108769256162854,0.3245313878666581,0.007385251387606141,0.35264855487008034,0.019651572228236925,0.23647885348488915,1.1712486547350254,-0.30487981563842115
distance_sma20,-0.004804604290940696,0.11171315202468021,0.035587980000143474,0.003737163628644458,0.12645837536048285,0.002318981151020659,0.07646161409623518,1.1319918296866698,-0.033268998849122815
distance_sma50,-0.011275047062319766,0.1835795653562121,0.24741572872504503,0.011323890580451544,0.19806168555441928,0.01506825454831097,0.12310159684124446,1.078887430472485,-0.23234747417673407
distance_sma200,0.03298133576086185,0.13834978304286114,0.6870969361769285,0.035746780475472,0.3765562890544092,0.34663474509991427,0.01998878967344246,2.7217700004469907,-0.3404621910770142
above_sma20,0.5042323713180601,0.49998394622149744,0.035587980000143474,0.5291316641677107,0.4991514790596386,0.002318981151020659,0.04980018466156918,0.9983350122175921,-0.033268998849122815
above_sma50,0.49058725967725025,0.4999137750352896,0.24741572872504503,0.5526077624319929,0.497225583234463,0.01506825454831097,0.12406240006161978,0.9946226890814583,-0.23234747417673407
above_sma200,0.6278915151654095,0.48337264810816744,0.6870969361769285,0.575899344505661,0.49420700744185686,0.34663474509991427,-0.10756125913047909,1.022414092680033,-0.3404621910770142
rsi_14,50.6206275366047,17.477123503123835,0.0,51.40357699206204,17.23877499333718,0.0,0.044798530794692745,0.9863622575108512,0.0
macd_histogram,2.9605299145682813,208.58172740098797,0.14179955667462932,0.14484913403321217,14.541077728335603,0.008804614738337642,-0.013499172797251137,0.06971405362072348,-0.1329949419362917
roc_20,0.004922225930279102,0.5445332532100454,0.04270414129023465,0.026113429186297547,0.3925497542746549,0.0027493075501791317,0.038916270275681876,0.7208921621600853,-0.03995483374005552
atr_14,48.49495698795175,2304.7143824948653,0.0,3.43985532977148,48.73198886810907,0.0,-0.01954910421889583,0.021144480738370903,0.0
realized_vol_20,0.49865059259288214,0.6325575762739081,0.04270414129023465,0.5132814808073345,0.6299797214801556,0.0027493075501791317,0.023129733581938684,0.9959247112192736,-0.03995483374005552
realized_vol_60,0.483946374672495,0.5060539421727549,0.3245313878666581,0.5425140195082776,0.5832753512663105,0.019651572228236925,0.11573399583514947,1.1525952129964714,-0.30487981563842115
volume_ratio_20,1.4142813602444462,19.361984413095474,0.04408146283025229,1.8375940456175213,42.35237957855469,0.0045901482576903765,0.021863083676834677,2.1873987022688475,-0.039491314572561914
dollar_volume_20,580347792.4537004,2741158779.416841,0.04270414129023465,380216600.4257905,2403273540.7658315,0.0027493075501791317,-0.07300970433769845,0.8767363491716843,-0.03995483374005552
rs_spy_20,-0.019423008718720665,0.18000714122335815,0.04270414129023465,-0.018229146006320755,0.20486586058046938,0.0027493075501791317,0.006632307497837157,1.1380985175819542,-0.03995483374005552
rs_spy_60,-0.0537771472055935,0.28951277340491866,0.3245313878666581,-0.04876229758347706,0.3489689819267213,0.019651572228236925,0.017321686926409157,1.2053664431539466,-0.30487981563842115
rs_spy_120,-0.050239619076502894,0.1852465981847683,0.6868458619378627,-0.09709794787979381,0.5150286009292502,0.06773883968975516,-0.25295108931799964,2.7802324359854174,-0.6191070222481075
