regime,mean_ic,t_stat,n_days,n_rows
bear_high_vol,-0.01673436427042844,-0.9521439395364515,12,9086
bear_low_vol,0.010510583916479618,0.7036614288604366,12,5801
bull_high_vol,-0.027424417575890644,-2.376104653948559,203,86512
bull_low_vol,-0.010637043642807173,-1.528832223636028,203,68266
range_high_vol,-0.003301109364941968,-0.8396434743710611,116,73653
range_low_vol,0.0018320924250358668,0.44643410577379017,116,49483
