quarter,mean_ic,n,t_stat
2014Q3,-0.006215826814970979,63,-0.36326885264345915
2014Q4,0.006693280528927445,64,0.3188994880263599
2015Q1,0.038162503771166555,61,2.212146878475734
2015Q2,0.040924282538611606,63,2.908989244387816
2015Q3,0.014458222717768863,64,0.668701316813295
2015Q4,-0.016856352185015317,64,-1.1373843555292742
2016Q1,0.0059533868263596445,61,0.18131455961499698
2016Q2,0.0009635141471004858,64,0.06631143272192315
2016Q3,-0.023824520006372182,64,-1.202831292981366
2016Q4,0.022221148857918514,63,1.2605095590904336
2017Q1,0.010227298105094677,62,0.7392237806630507
2017Q2,0.0006750306283014025,63,0.03383787324147894
2017Q3,-0.004750377397306182,63,-0.40273959116349606
2017Q4,0.02776483876081238,63,1.8369651312880226
2018Q1,-0.03066080771462529,61,-2.074742636793617
2018Q2,0.01711156347519652,64,1.0818028309569552
2018Q3,0.04195015994701002,63,2.1121347908139434
2018Q4,-0.020648175271880734,63,-1.0023730024576532
2019Q1,0.07432854026236971,61,5.24277890363285
2019Q2,-0.00573002943988479,63,-0.24906008866887774
2019Q3,0.00034476896683061347,64,0.019026527917536656
2019Q4,0.06063673466566268,64,3.490342369272392
2020Q1,0.0021612011696953183,62,0.12002321473494054
2020Q2,0.10621087915996048,63,4.210982699902477
2020Q3,0.013141504777706123,64,0.5841523504283841
2020Q4,-0.0002075341470866199,64,-0.009874474573624097
2021Q1,0.032827764912942155,61,1.3286363839676083
2021Q2,0.015808534864775264,63,0.6016675171802991
2021Q3,0.010168726482856149,64,0.5170160700956127
2021Q4,0.00499705761227015,64,0.2150470486037445
2022Q1,-0.04330493474671101,62,-2.140382231292482
2022Q2,-0.04585355425785555,62,-2.3617864795367645
2022Q3,0.045764872835144084,64,3.1222238861367417
2022Q4,-0.026523949800297934,63,-1.3269272778806371
2023Q1,0.06714823012529267,62,4.084630485869419
2023Q2,0.012116996500304192,62,0.6043251590404842
2023Q3,0.0020799123335480943,63,0.15368870426602652
2023Q4,-0.010499710718036024,63,-0.7880954229950328
2024Q1,0.018015881455935565,61,0.9607618010125017
2024Q2,-0.031027118011479907,63,-2.114304089368874
2024Q3,0.05995296354125545,64,3.2289669304225073
2024Q4,-0.014918921581558347,64,-0.9701296726390514
2025Q1,0.0551348464415595,60,3.6895330388341923
2025Q2,0.03511260306260759,52,3.109728273629966
