iteration,rmse
1,0.1066823875120927
2,0.10669600075623253
3,0.10670417464514896
4,0.10672325346089076
5,0.10675054817786048
6,0.10676670963970027
7,0.1067801457955427
8,0.10678263411444269
9,0.10678048700185938
10,0.1067487551484479
11,0.10674668032721178
12,0.10677261692104739
13,0.10677807415823296
14,0.10683101932976316
15,0.10687031769437165
16,0.10693046793001126
17,0.10699169095966726
18,0.10707151996874655
19,0.10705204175781406
20,0.10704383258953029
21,0.10708221655906455
