event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,marubozu,long,25,2011-07-19,2.0453134818393397
candlestick,bullish_harami,long,3600,2025-10-06,-2.0416453741276968
candlestick,inverted_hammer,long,797,2014-08-13,2.0320033334759695
candlestick,shooting_star,short,574,2013-09-24,2.0310017469304853
candlestick,hanging_man,short,2342,2020-10-01,2.029951423083391
candlestick,tweezer_top,short,316,2012-09-12,2.026364881326249
structure,bull_flag,long,612,2013-11-15,2.0234625014337277
candlestick,tweezer_top,short,2524,2021-06-23,-2.0220763872297924
candlestick,bearish_harami,short,2524,2021-06-23,-2.0220763872297924
candlestick,shooting_star,short,3396,2024-12-10,-2.008526994543952
candlestick,bearish_engulfing,short,2353,2020-10-16,-2.0065896955021327
structure,hs_top,short,901,2015-01-12,2.004047969545257
structure,bear_flag,short,901,2015-01-12,2.004047969545257
candlestick,hanging_man,short,2389,2020-12-08,2.00391035009505
candlestick,tweezer_bottom,long,2093,2019-10-07,2.003855339435522
candlestick,tweezer_bottom,long,1632,2017-12-05,1.9762295604575244
candlestick,bearish_engulfing,short,2122,2019-11-15,1.9747152655956768
candlestick,morning_star,long,1380,2016-12-05,1.972715388789584
candlestick,hanging_man,short,30,2011-07-26,-1.9703006447476221
candlestick,tweezer_top,short,30,2011-07-26,-1.9703006447476221
candlestick,marubozu,short,1320,2016-09-09,1.9680614077233594
candlestick,inverted_hammer,long,2596,2021-10-05,1.9646081371553352
candlestick,bullish_harami,long,2596,2021-10-05,1.9646081371553352
candlestick,three_black_crows,short,1578,2017-09-19,-1.958016697255515
candlestick,bearish_harami,short,1880,2018-11-29,-1.9443452662075575
candlestick,marubozu,long,1090,2015-10-12,1.9429655656653264
structure,double_bottom,long,1090,2015-10-12,1.9429655656653264
candlestick,bullish_engulfing,long,2843,2022-09-28,1.9405142564812194
candlestick,dark_cloud_cover,short,1285,2016-07-21,1.9316737575292908
candlestick,shooting_star,short,3620,2025-11-03,-1.929131455308809
candlestick,bullish_engulfing,long,1013,2015-06-23,-1.928295767130599
candlestick,hanging_man,short,1048,2015-08-12,-1.9261860316840889
candlestick,bearish_harami,short,1048,2015-08-12,-1.9261860316840889
candlestick,tweezer_bottom,long,1136,2015-12-16,-1.920777903083426
candlestick,inverted_hammer,long,550,2013-08-20,-1.9192542226223814
candlestick,tweezer_bottom,long,472,2013-04-30,1.9187561631309464
candlestick,bearish_engulfing,short,2228,2020-04-21,1.9152791529606261
candlestick,marubozu,short,2660,2022-01-05,-1.9122947090880396
structure,double_top,short,2660,2022-01-05,-1.9122947090880396
structure,double_top,short,1991,2019-05-13,1.911467414799488
candlestick,bullish_harami,long,816,2014-09-10,-1.9104802802149805
candlestick,shooting_star,short,3430,2025-01-31,-1.910128503043926
structure,double_bottom,long,2959,2023-03-16,-1.909239948650301
candlestick,tweezer_bottom,long,825,2014-09-23,-1.9064941206534927
candlestick,bullish_harami,long,3325,2024-08-29,1.9056465677120753
candlestick,shooting_star,short,3018,2023-06-09,1.9039119082158436
candlestick,tweezer_top,short,3018,2023-06-09,1.9039119082158436
candlestick,bearish_harami,short,3018,2023-06-09,1.9039119082158436
candlestick,morning_star,long,1066,2015-09-08,1.9032282816224453
structure,hs_bottom,long,1066,2015-09-08,1.9032282816224453
structure,bull_flag,long,3540,2025-07-11,1.9020525722302113
candlestick,tweezer_top,short,2934,2023-02-08,-1.8990519419534633
candlestick,bearish_engulfing,short,2331,2020-09-16,-1.8943483637934082
candlestick,marubozu,short,2331,2020-09-16,-1.8943483637934082
candlestick,bearish_harami,short,577,2013-09-27,-1.89234383699928
candlestick,hanging_man,short,577,2013-09-27,-1.89234383699928
candlestick,shooting_star,short,978,2015-05-04,1.8863472002048738
candlestick,tweezer_top,short,1318,2016-09-07,-1.8853206119698869
candlestick,tweezer_top,short,1124,2015-11-30,1.884774802617543
candlestick,tweezer_top,short,1240,2016-05-17,1.8812815872809994
candlestick,bearish_harami,short,2109,2019-10-29,1.8755211175530397
candlestick,tweezer_top,short,2109,2019-10-29,1.8755211175530397
candlestick,hanging_man,short,2117,2019-11-08,-1.867421944894981
candlestick,shooting_star,short,3013,2023-06-02,1.8672029737015845
candlestick,tweezer_top,short,328,2012-09-28,1.8637973638509122
candlestick,bearish_harami,short,328,2012-09-28,1.8637973638509122
candlestick,dark_cloud_cover,short,3772,2026-06-12,-1.8612460216330031
candlestick,tweezer_top,short,1110,2015-11-09,-1.8596800913073745
structure,double_top,short,2442,2021-02-25,-1.8546668687090113
structure,double_top,short,1770,2018-06-25,1.8525049497138433
candlestick,tweezer_bottom,long,2069,2019-09-03,1.8521222909497486
candlestick,tweezer_bottom,long,3487,2025-04-24,1.8441098773546358
candlestick,bullish_engulfing,long,3079,2023-09-07,1.8425775652309053
candlestick,bearish_engulfing,short,803,2014-08-21,1.841335362888385
candlestick,tweezer_top,short,803,2014-08-21,1.841335362888385
candlestick,bearish_harami,short,1963,2019-04-02,1.8385025225647937
candlestick,marubozu,short,1345,2016-10-14,1.8384861135948796
candlestick,bearish_engulfing,short,1345,2016-10-14,1.8384861135948796
candlestick,bullish_engulfing,long,2917,2023-01-13,-1.8344914404525074
candlestick,marubozu,long,2917,2023-01-13,-1.8344914404525074
candlestick,inverted_hammer,long,2409,2021-01-07,-1.8313480539900246
candlestick,tweezer_top,short,1592,2017-10-09,1.8304957755361724
candlestick,hammer,long,1709,2018-03-28,-1.8296539989429645
candlestick,bearish_engulfing,short,3707,2026-03-11,-1.829296732330049
candlestick,dark_cloud_cover,short,2032,2019-07-11,-1.8265222492971749
candlestick,bullish_harami,long,2119,2019-11-12,-1.826214410355517
candlestick,tweezer_bottom,long,2119,2019-11-12,-1.826214410355517
candlestick,inverted_hammer,long,2119,2019-11-12,-1.826214410355517
candlestick,marubozu,long,2149,2019-12-26,1.825262340176356
structure,double_bottom,long,2149,2019-12-26,1.825262340176356
candlestick,hanging_man,short,3140,2023-12-04,1.8227005360381971
candlestick,three_black_crows,short,536,2013-07-31,-1.8192694389898865
candlestick,hammer,long,2454,2021-03-15,1.8113498954104899
structure,double_bottom,long,1300,2016-08-11,-1.80617931095065
candlestick,inverted_hammer,long,2505,2021-05-26,-1.8051127945479675
structure,double_bottom,long,1595,2017-10-12,-1.8003276066951284
candlestick,tweezer_top,short,524,2013-07-15,-1.7973014161489849
candlestick,bearish_harami,short,524,2013-07-15,-1.7973014161489849
candlestick,bullish_harami,long,2064,2019-08-26,1.794933019428308
candlestick,tweezer_bottom,long,2064,2019-08-26,1.794933019428308
candlestick,hammer,long,2064,2019-08-26,1.794933019428308
candlestick,bearish_harami,short,1744,2018-05-17,1.794839045507611
candlestick,tweezer_top,short,2525,2021-06-24,1.7946822427467133
candlestick,bullish_engulfing,long,3125,2023-11-10,1.7901973864062
candlestick,tweezer_top,short,483,2013-05-15,-1.785713646837544
candlestick,bearish_harami,short,483,2013-05-15,-1.785713646837544
candlestick,hanging_man,short,2240,2020-05-07,1.7811190234003844
candlestick,three_white_soldiers,long,16,2011-07-06,-1.778796898410246
structure,double_bottom,long,560,2013-09-04,1.7776847617304958
structure,double_bottom,long,1290,2016-07-28,1.7764817869130152
structure,hs_bottom,long,3663,2026-01-06,-1.7764491385082373
candlestick,hanging_man,short,3401,2024-12-17,-1.7737360817593861
candlestick,tweezer_top,short,3401,2024-12-17,-1.7737360817593861
candlestick,bearish_harami,short,3401,2024-12-17,-1.7737360817593861
candlestick,tweezer_top,short,1502,2017-06-01,-1.7711731686772203
candlestick,tweezer_top,short,3398,2024-12-12,-1.7687919946569917
candlestick,bearish_harami,short,3398,2024-12-12,-1.7687919946569917
candlestick,piercing,long,2237,2020-05-04,1.768577721860853
candlestick,tweezer_top,short,1309,2016-08-24,1.7655965834013991
candlestick,evening_star,short,1309,2016-08-24,1.7655965834013991
