event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,tweezer_top,short,3577,2025-09-03,2.019961802846935
candlestick,hanging_man,short,3577,2025-09-03,2.019961802846935
candlestick,bearish_harami,short,804,2014-08-22,2.0174328203395033
candlestick,bullish_engulfing,long,2016,2019-06-18,-2.0142676776987027
candlestick,tweezer_bottom,long,2016,2019-06-18,-2.0142676776987027
candlestick,tweezer_top,short,2131,2019-11-29,2.0112395763161253
candlestick,hanging_man,short,2500,2021-05-19,2.0110517540125232
structure,double_bottom,long,3002,2023-05-17,-2.0079442691039877
candlestick,morning_star,long,1584,2017-09-27,2.0067199270758778
candlestick,tweezer_top,short,2995,2023-05-08,-2.0062740592807318
candlestick,tweezer_top,short,646,2014-01-07,2.0061762513116292
candlestick,evening_star,short,646,2014-01-07,2.0061762513116292
structure,double_top,short,3401,2024-12-17,2.0053695112674403
candlestick,piercing,long,1332,2016-09-27,2.0042221501233968
candlestick,inverted_hammer,long,2175,2020-02-04,2.0031095042895255
candlestick,dark_cloud_cover,short,1345,2016-10-14,1.9994167219116061
candlestick,tweezer_top,short,778,2014-07-17,1.9875521933124523
candlestick,bearish_engulfing,short,713,2014-04-14,1.983260863801285
structure,hs_top,short,2479,2021-04-20,1.9829780735286135
candlestick,bullish_engulfing,long,193,2012-03-19,1.9777764214409723
candlestick,tweezer_bottom,long,3093,2023-09-27,-1.9755830065362214
candlestick,bearish_engulfing,short,1649,2017-12-29,1.9730695363576956
candlestick,morning_star,long,1245,2016-05-24,1.9677666951517883
structure,double_top,short,657,2014-01-23,-1.9656465138247814
candlestick,bearish_engulfing,short,2003,2019-05-30,1.9615226521617426
candlestick,tweezer_top,short,3104,2023-10-12,-1.9614571416492008
candlestick,bearish_harami,short,3141,2023-12-05,1.956065274427344
candlestick,tweezer_top,short,1792,2018-07-26,1.9503682137830114
candlestick,bullish_engulfing,long,3490,2025-04-29,1.9499649937348016
candlestick,shooting_star,short,1669,2018-01-30,-1.9459628632545536
candlestick,shooting_star,short,301,2012-08-21,-1.9453250805909934
structure,bull_flag,long,301,2012-08-21,-1.9453250805909934
candlestick,bearish_harami,short,3046,2023-07-21,1.9425684575072506
candlestick,tweezer_top,short,3046,2023-07-21,1.9425684575072506
structure,bull_flag,long,3190,2024-02-15,1.9402933162311378
candlestick,marubozu,long,3190,2024-02-15,1.9402933162311378
structure,double_bottom,long,434,2013-03-06,1.938839185230053
structure,double_top,short,1048,2015-08-12,-1.9333662457829268
candlestick,hammer,long,1048,2015-08-12,-1.9333662457829268
structure,double_top,short,1048,2015-08-12,-1.9333662457829268
candlestick,shooting_star,short,924,2015-02-13,1.9272692494859398
structure,double_bottom,long,1187,2016-03-02,-1.924360347191081
structure,hs_bottom,long,1187,2016-03-02,-1.924360347191081
candlestick,shooting_star,short,825,2014-09-23,-1.9199182725818469
candlestick,bullish_engulfing,long,825,2014-09-23,-1.9199182725818469
candlestick,dark_cloud_cover,short,1905,2019-01-08,1.9190616595727281
candlestick,marubozu,long,1686,2018-02-23,-1.9179950957514722
candlestick,bearish_engulfing,short,3552,2025-07-29,-1.9155676938198516
candlestick,marubozu,short,728,2014-05-06,1.9122618201083463
candlestick,tweezer_top,short,1309,2016-08-24,1.9105416141555296
structure,double_top,short,1705,2018-03-22,-1.9099577375246732
candlestick,tweezer_bottom,long,2582,2021-09-15,1.9094517853728263
candlestick,bullish_engulfing,long,147,2012-01-11,1.9094401687207516
candlestick,shooting_star,short,2165,2020-01-21,-1.9073375330315323
candlestick,tweezer_top,short,2165,2020-01-21,-1.9073375330315323
candlestick,shooting_star,short,3150,2023-12-18,1.9069952778806118
candlestick,hammer,long,1082,2015-09-30,1.9025747485440707
candlestick,marubozu,short,594,2013-10-22,-1.902276162033147
candlestick,bearish_harami,short,966,2015-04-16,-1.8962590081942756
structure,double_top,short,2899,2022-12-16,1.894974347789706
candlestick,tweezer_bottom,long,3174,2024-01-24,1.8944256466504765
candlestick,tweezer_top,short,1194,2016-03-11,1.8874265739885088
candlestick,bearish_engulfing,short,1073,2015-09-17,-1.8834800900816535
candlestick,evening_star,short,1073,2015-09-17,-1.8834800900816535
candlestick,bearish_engulfing,short,3731,2026-04-15,1.8827868805035237
candlestick,tweezer_top,short,3731,2026-04-15,1.8827868805035237
candlestick,hanging_man,short,2455,2021-03-16,-1.8826131802901884
candlestick,shooting_star,short,1937,2019-02-25,-1.875587080479471
structure,bull_flag,long,2508,2021-06-01,-1.872930173558729
candlestick,tweezer_top,short,3592,2025-09-24,-1.8728943217657934
candlestick,bearish_engulfing,short,1110,2015-11-09,-1.8697167942459034
candlestick,hanging_man,short,2075,2019-09-11,1.86875566719669
candlestick,morning_star,long,1877,2018-11-26,-1.8579523518275038
candlestick,tweezer_top,short,3536,2025-07-07,-1.8563596962269187
candlestick,inverted_hammer,long,2460,2021-03-23,1.8533312520016567
candlestick,inverted_hammer,long,1930,2019-02-13,1.8527536424088078
candlestick,hanging_man,short,974,2015-04-28,1.8483108324337045
candlestick,tweezer_bottom,long,1132,2015-12-10,-1.844229649773467
candlestick,bullish_harami,long,1132,2015-12-10,-1.844229649773467
candlestick,bearish_harami,short,995,2015-05-28,1.8429022310332899
candlestick,hanging_man,short,995,2015-05-28,1.8429022310332899
candlestick,tweezer_top,short,1434,2017-02-23,1.8325533289503173
structure,double_top,short,1568,2017-09-05,1.8321967942224233
structure,double_top,short,1568,2017-09-05,1.8321967942224233
structure,double_top,short,1568,2017-09-05,1.8321967942224233
candlestick,bullish_harami,long,474,2013-05-02,1.830277079668458
candlestick,hammer,long,474,2013-05-02,1.830277079668458
structure,hs_top,short,2943,2023-02-22,1.8114966872481189
structure,double_top,short,2943,2023-02-22,1.8114966872481189
candlestick,three_white_soldiers,long,3276,2024-06-20,1.807014834136032
candlestick,marubozu,long,1380,2016-12-05,1.801585348923835
candlestick,bullish_engulfing,long,1819,2018-09-04,-1.7976549434599924
candlestick,tweezer_bottom,long,1819,2018-09-04,-1.7976549434599924
candlestick,hanging_man,short,3387,2024-11-26,-1.7962177346231856
candlestick,bearish_harami,short,2537,2021-07-13,-1.7924788920893295
structure,hs_top,short,870,2014-11-25,1.7910478353553865
candlestick,tweezer_top,short,870,2014-11-25,1.7910478353553865
candlestick,bearish_engulfing,short,870,2014-11-25,1.7910478353553865
candlestick,shooting_star,short,488,2013-05-22,1.7900411436750963
structure,hs_top,short,1042,2015-08-04,-1.7820643251802677
candlestick,tweezer_top,short,1042,2015-08-04,-1.7820643251802677
candlestick,morning_star,long,2470,2021-04-07,-1.7814462255941108
candlestick,tweezer_bottom,long,3713,2026-03-19,-1.781437254250943
candlestick,hammer,long,1269,2016-06-28,1.7809162720743077
candlestick,shooting_star,short,1869,2018-11-13,-1.7793567053601391
candlestick,hammer,long,1069,2015-09-11,-1.774297611869074
candlestick,marubozu,long,83,2011-10-10,1.7647049792193474
candlestick,bullish_harami,long,83,2011-10-10,1.7647049792193474
candlestick,bullish_engulfing,long,2441,2021-02-24,-1.761710195103627
candlestick,bullish_engulfing,long,3572,2025-08-26,1.7583815759159616
candlestick,tweezer_top,short,1815,2018-08-28,-1.7565015724540884
candlestick,inverted_hammer,long,3411,2025-01-02,1.7541694641113281
structure,double_bottom,long,1428,2017-02-14,1.7530144457597399
candlestick,marubozu,long,3734,2026-04-20,-1.7476823237376107
candlestick,bearish_harami,short,979,2015-05-05,1.7391228115692419
candlestick,shooting_star,short,979,2015-05-05,1.7391228115692419
candlestick,hammer,long,1333,2016-09-28,1.7388752481325938
candlestick,hanging_man,short,1030,2015-07-17,-1.7338491028984975
candlestick,tweezer_top,short,702,2014-03-28,-1.7321800460838803
candlestick,marubozu,long,925,2015-02-17,1.7304508185223424
structure,double_bottom,long,588,2013-10-14,1.7264273633428646
candlestick,inverted_hammer,long,358,2012-11-13,1.7232732540757905
structure,hs_bottom,long,3412,2025-01-03,1.7222963097790096
candlestick,bullish_engulfing,long,3020,2023-06-13,-1.7180695451361778
structure,double_bottom,long,3020,2023-06-13,-1.7180695451361778
candlestick,hammer,long,3098,2023-10-04,1.7160734916897882
candlestick,tweezer_bottom,long,3098,2023-10-04,1.7160734916897882
candlestick,bearish_harami,short,984,2015-05-12,1.7135904775445303
candlestick,piercing,long,10,2011-06-27,1.7051160656047564
candlestick,shooting_star,short,2136,2019-12-06,1.7032013967035635
candlestick,bullish_engulfing,long,2828,2022-09-07,1.699742187029437
candlestick,shooting_star,short,1549,2017-08-08,-1.6972715223158568
candlestick,tweezer_bottom,long,1473,2017-04-20,1.694911626554751
candlestick,bullish_engulfing,long,3201,2024-03-04,1.692738261243426
candlestick,tweezer_top,short,2292,2020-07-22,-1.6921732262914386
candlestick,tweezer_bottom,long,1808,2018-08-17,1.6903393727888998
candlestick,tweezer_top,short,996,2015-05-29,1.6874439509733103
structure,bull_flag,long,2380,2020-11-24,-1.6866703180360012
candlestick,hammer,long,213,2012-04-17,-1.6856529675302365
candlestick,morning_star,long,3641,2025-12-03,1.681991451597575
candlestick,bullish_engulfing,long,3641,2025-12-03,1.681991451597575
structure,double_bottom,long,1098,2015-10-22,1.6774828237501764
candlestick,hammer,long,1414,2017-01-25,-1.673837570427569
candlestick,inverted_hammer,long,726,2014-05-02,-1.6732642578938424
candlestick,hanging_man,short,819,2014-09-15,1.668335039891717
candlestick,shooting_star,short,997,2015-06-01,1.6646465551460425
candlestick,bearish_harami,short,1306,2016-08-19,1.6550202365459812
candlestick,hanging_man,short,1306,2016-08-19,1.6550202365459812
candlestick,hammer,long,2463,2021-03-26,-1.644208596279921
candlestick,bearish_harami,short,1978,2019-04-24,1.6380454076286954
candlestick,inverted_hammer,long,2161,2020-01-14,-1.6282490748809668
structure,double_top,short,3398,2024-12-12,-1.6271240407583338
candlestick,bearish_engulfing,short,1563,2017-08-28,-1.6266352495524186
structure,bull_flag,long,2451,2021-03-10,1.6244368815533217
candlestick,tweezer_top,short,3200,2024-03-01,1.6190836573496286
candlestick,shooting_star,short,536,2013-07-31,-1.6149250288429582
candlestick,tweezer_top,short,1585,2017-09-28,1.6145952609284202
structure,double_bottom,long,1585,2017-09-28,1.6145952609284202
structure,bull_flag,long,1585,2017-09-28,1.6145952609284202
candlestick,tweezer_top,short,937,2015-03-05,-1.6129032258064515
candlestick,hanging_man,short,937,2015-03-05,-1.6129032258064515
candlestick,bearish_engulfing,short,167,2012-02-09,1.6112007409338973
candlestick,bullish_harami,long,1139,2015-12-21,1.6020680617880836
candlestick,marubozu,long,3140,2023-12-04,1.6013663468138453
structure,double_bottom,long,284,2012-07-27,-1.5993498572771685
candlestick,bullish_harami,long,244,2012-05-31,1.5987896075453443
candlestick,tweezer_bottom,long,244,2012-05-31,1.5987896075453443
candlestick,morning_star,long,2092,2019-10-04,1.5965749064813441
candlestick,tweezer_bottom,long,941,2015-03-11,1.5936239338051255
candlestick,bullish_harami,long,941,2015-03-11,1.5936239338051255
candlestick,tweezer_bottom,long,3114,2023-10-26,1.5913651467606995
candlestick,bullish_engulfing,long,3114,2023-10-26,1.5913651467606995
structure,double_top,short,1451,2017-03-20,-1.5883597962511815
candlestick,inverted_hammer,long,1451,2017-03-20,-1.5883597962511815
candlestick,shooting_star,short,3376,2024-11-11,1.5880325790364038
candlestick,tweezer_top,short,641,2013-12-30,1.5875723155014616
candlestick,bearish_harami,short,3085,2023-09-15,-1.585915361246018
candlestick,tweezer_top,short,3085,2023-09-15,-1.585915361246018
candlestick,bullish_engulfing,long,1923,2019-02-04,-1.582735276622452
candlestick,tweezer_bottom,long,2055,2019-08-13,-1.582216741797668
candlestick,tweezer_top,short,3643,2025-12-05,1.5807454080994603
candlestick,shooting_star,short,3643,2025-12-05,1.5807454080994603
candlestick,bearish_harami,short,3643,2025-12-05,1.5807454080994603
candlestick,tweezer_bottom,long,794,2014-08-08,1.5796936230706715
candlestick,bullish_harami,long,3112,2023-10-24,-1.5796527282449302
candlestick,tweezer_top,short,1126,2015-12-02,-1.5751620073112167
candlestick,bearish_engulfing,short,1126,2015-12-02,-1.5751620073112167
candlestick,piercing,long,368,2012-11-28,1.567473330754699
candlestick,tweezer_top,short,3571,2025-08-25,1.563247190421723
candlestick,bearish_harami,short,3571,2025-08-25,1.563247190421723
structure,double_top,short,1944,2019-03-06,1.5618926900515109
candlestick,tweezer_top,short,1944,2019-03-06,1.5618926900515109
candlestick,marubozu,long,1169,2016-02-04,-1.5582188760883156
candlestick,tweezer_top,short,1370,2016-11-18,1.5570700022237265
candlestick,hanging_man,short,857,2014-11-06,-1.5515282868557667
structure,double_bottom,long,1241,2016-05-18,1.5459054491198378
candlestick,marubozu,long,1241,2016-05-18,1.5459054491198378
candlestick,hanging_man,short,2980,2023-04-17,-1.544735488682274
candlestick,bearish_harami,short,1533,2017-07-17,1.542842402370213
candlestick,hanging_man,short,1317,2016-09-06,-1.5421128082415558
candlestick,tweezer_top,short,1317,2016-09-06,-1.5421128082415558
candlestick,tweezer_top,short,1122,2015-11-25,1.5405306160547745
candlestick,bullish_engulfing,long,624,2013-12-04,-1.5387257816911202
candlestick,morning_star,long,624,2013-12-04,-1.5387257816911202
candlestick,marubozu,short,2268,2020-06-17,-1.5279495588748346
candlestick,tweezer_bottom,long,2645,2021-12-14,-1.5270582919668947
structure,double_top,short,951,2015-03-25,1.526589226798437
candlestick,tweezer_top,short,3515,2025-06-04,1.521455224850285
candlestick,tweezer_bottom,long,3464,2025-03-21,1.5188503475490203
candlestick,bearish_engulfing,short,3565,2025-08-15,1.5181258598794636
candlestick,hanging_man,short,2122,2019-11-15,1.5131681713413716
candlestick,tweezer_top,short,2930,2023-02-02,1.5114371727553195
candlestick,bearish_engulfing,short,2520,2021-06-17,1.5089672033552446
candlestick,bearish_harami,short,2036,2019-07-17,1.5089053890137922
candlestick,bearish_harami,short,3531,2025-06-27,-1.5081281714962342
candlestick,bearish_engulfing,short,2624,2021-11-12,-1.5042517665436375
structure,double_top,short,2624,2021-11-12,-1.5042517665436375
candlestick,tweezer_top,short,170,2012-02-14,1.5031738846134501
candlestick,tweezer_top,short,1740,2018-05-11,-1.5018435581469618
structure,bull_flag,long,3385,2024-11-22,-1.500702346305074
candlestick,bearish_harami,short,385,2012-12-21,1.4999996532093396
candlestick,shooting_star,short,3378,2024-11-13,1.4927810540965698
candlestick,inverted_hammer,long,1323,2016-09-14,1.4909606039446957
candlestick,piercing,long,2035,2019-07-16,1.4854057015937892
candlestick,morning_star,long,1033,2015-07-22,-1.4840195324687993
candlestick,bearish_engulfing,short,2327,2020-09-10,-1.4825236199416763
candlestick,tweezer_bottom,long,740,2014-05-22,1.466543076534157
candlestick,morning_star,long,2398,2020-12-21,1.464991917349854
structure,double_bottom,long,2398,2020-12-21,1.464991917349854
candlestick,tweezer_top,short,2031,2019-07-10,1.4599199919372243
candlestick,bullish_engulfing,long,2467,2021-04-01,1.4572832844544505
candlestick,tweezer_bottom,long,1949,2019-03-13,-1.456074961158715
candlestick,bullish_harami,long,1949,2019-03-13,-1.456074961158715
candlestick,bullish_engulfing,long,2385,2020-12-02,-1.4503476394482204
candlestick,bearish_engulfing,short,3222,2024-04-03,-1.4473072777651284
candlestick,tweezer_top,short,3222,2024-04-03,-1.4473072777651284
candlestick,bearish_engulfing,short,1685,2018-02-22,-1.4437324870796957
structure,double_bottom,long,2979,2023-04-14,1.4416492911366703
candlestick,bearish_harami,short,3540,2025-07-11,1.4327602590175055
candlestick,piercing,long,1250,2016-06-01,-1.4309672803631075
candlestick,hanging_man,short,1003,2015-06-09,1.4289953559269253
structure,double_top,short,658,2014-01-24,-1.4158627285105099
candlestick,inverted_hammer,long,1714,2018-04-05,-1.4122222385126908
structure,double_bottom,long,1789,2018-07-23,1.4115557967884658
candlestick,tweezer_top,short,2350,2020-10-13,-1.3990832008270453
candlestick,bearish_engulfing,short,2350,2020-10-13,-1.3990832008270453
structure,double_top,short,2295,2020-07-27,-1.393187257856288
candlestick,bearish_harami,short,2081,2019-09-19,-1.390514383402967
candlestick,tweezer_top,short,2081,2019-09-19,-1.390514383402967
candlestick,shooting_star,short,2081,2019-09-19,-1.390514383402967
candlestick,inverted_hammer,long,2788,2022-07-12,1.3897492058595262
candlestick,tweezer_bottom,long,2788,2022-07-12,1.3897492058595262
structure,hs_bottom,long,2024,2019-06-28,1.3864001610498267
