feature,type,rise_rate,drop_rate,base_rate,rise_lift,drop_lift,me_score,p_value,effect_size,n_rise,n_drop,direction,rise_mean,drop_mean,cliff_delta,fdr_pass
vol_expanding,binary,54.086,55.687,54.886,0.985,1.015,0.971,0.0,0.0161,93930,93929,drop,,,,True
vol_ratio_5,continuous,,,,,,0.964,0.0,0.0185,93930,93929,drop_higher,1.0839,1.0985,-0.0185,True
body_pct,continuous,,,,,,0.963,0.0,0.0191,93930,93929,drop_higher,0.3462,0.3481,-0.0191,True
atr_expansion,continuous,,,,,,0.957,0.0,0.022,93922,93913,drop_higher,1.0615,1.063,-0.022,True
lower_wick_pct,continuous,,,,,,0.841,0.0,0.0864,93930,93929,drop_higher,10.4596,11.7089,-0.0864,True
gap_pct,continuous,,,,,,0.82,0.0,0.099,4186,4042,drop_higher,-0.0782,0.1812,-0.099,True
lower_dom,binary,36.818,45.158,40.988,0.898,1.102,0.815,0.0,0.0848,93930,93929,drop,,,,True
below_all_emas,binary,18.035,61.954,39.994,0.451,1.549,0.291,0.0,0.4483,93930,93929,drop,,,,True
rsi_below30,binary,3.456,17.499,10.478,0.33,1.67,0.197,0.0,0.2293,93930,93929,drop,,,,True
macd_bear_cross,binary,0.779,10.218,5.499,0.142,1.858,0.076,0.0,0.207,93930,93929,drop,,,,True
below_bb_lower,binary,1.701,23.039,12.37,0.138,1.862,0.074,0.0,0.324,93930,93929,drop,,,,True
rsi_lose50,binary,0.596,18.485,9.541,0.062,1.938,0.032,0.0,0.3045,93930,93929,drop,,,,True
body_dir,binary,100.0,0.0,50.0,2.0,0.0,,0.0,1.0,93930,93929,drop,,,,True
is_open_30m,binary,0.0,0.0,0.0,,,,,,93930,93929,drop,,,,False
