scan_date,ts,ticker,method,name,direction,mr_score,mr_oversold,confluence_n,above_ema200,rsi,cc_ret,base_n,base_avg_fwd5,base_win5,conviction,needs_5m_confirm,explained_by
2026-06-25,2026-06-25,ABBV,candlestick,bullish_engulfing,long,-1.201173691248887,0,3,1,71.49024144787927,3.5122823540539194,224743,0.185,48.1,0.547,True,base 224743x avg5 +0.18% win 48%; mr -1.20; >200EMA
2026-06-25,2026-06-25,DE,structure,bull_flag,long,-1.2040514627063632,0,2,1,70.2815980318215,4.995424014253014,44035,0.306,49.9,0.523,True,base 44035x avg5 +0.31% win 50%; mr -1.20; >200EMA
2026-06-25,2026-06-25,XEL,structure,double_bottom,long,-0.7082274016633768,0,2,1,61.54778361130698,0.3436832884516017,105137,0.101,49.1,0.516,True,base 105137x avg5 +0.10% win 49%; mr -0.71; >200EMA
2026-06-25,2026-06-25,XLU,structure,double_bottom,long,-0.7397085780606639,0,2,1,61.29311079129343,0.6807148712376421,105137,0.101,49.1,0.503,True,base 105137x avg5 +0.10% win 49%; mr -0.74; >200EMA
2026-06-25,2026-06-25,UPS,candlestick,marubozu,long,-0.3246139835111021,0,1,1,57.30496340753375,2.986619735419449,167960,0.076,45.1,0.489,True,base 167960x avg5 +0.08% win 45%; mr -0.32; >200EMA
2026-06-25,2026-06-25,VLO,candlestick,marubozu,long,-0.36137298195479656,0,1,1,55.569453437454314,5.209753439915121,167960,0.076,45.1,0.474,True,base 167960x avg5 +0.08% win 45%; mr -0.36; >200EMA
2026-06-25,2026-06-25,NSC,candlestick,marubozu,long,-0.3617068393305625,0,1,1,53.848415540083074,2.712128903868316,167960,0.076,45.1,0.474,True,base 167960x avg5 +0.08% win 45%; mr -0.36; >200EMA
2026-06-25,2026-06-25,WELL,structure,double_bottom,long,-0.9274174619568606,0,2,1,63.32391301106162,1.0387043886712632,105137,0.101,49.1,0.428,True,base 105137x avg5 +0.10% win 49%; mr -0.93; >200EMA
2026-06-25,2026-06-25,STZ,candlestick,bullish_engulfing,long,0.2484049223655991,0,1,0,51.26609280920694,0.9998550084343805,224743,0.185,48.1,0.427,True,base 224743x avg5 +0.18% win 48%; mr +0.25; <200EMA
2026-06-25,2026-06-25,MRK,structure,double_bottom,long,-1.1358393223876588,0,2,1,65.6521889223041,4.021557657947916,105137,0.101,49.1,0.345,True,base 105137x avg5 +0.10% win 49%; mr -1.14; >200EMA
2026-06-25,2026-06-25,SYK,structure,double_bottom,long,0.00936653481205992,0,1,0,55.7030137317704,0.7746725110048258,105137,0.101,49.1,0.253,True,base 105137x avg5 +0.10% win 49%; mr +0.01; <200EMA
2026-06-25,2026-06-25,HUM,candlestick,bullish_engulfing,long,-1.3038609169703244,0,1,1,74.02719682971187,3.9707954789025113,224743,0.185,48.1,0.206,True,base 224743x avg5 +0.18% win 48%; mr -1.30; >200EMA
2026-06-25,2026-06-25,ABT,structure,double_bottom,long,-0.20278511228029536,0,1,0,61.30471927428907,3.039009907083945,105137,0.101,49.1,0.168,True,base 105137x avg5 +0.10% win 49%; mr -0.20; <200EMA
2026-06-25,2026-06-25,DHR,structure,double_bottom,long,-0.6417853807043291,0,2,0,66.42842476283495,2.297883045947491,105137,0.101,49.1,0.142,True,base 105137x avg5 +0.10% win 49%; mr -0.64; <200EMA
