scan_date,ts,ticker,method,name,direction,mr_score,mr_oversold,confluence_n,above_ema200,rsi,cc_ret,base_n,base_avg_fwd5,base_win5,conviction,needs_5m_confirm,explained_by,liq_tier,entry_px,exp_firstleg_pct,target_px,exp_firstleg_bars,retrace_frac,add_dip_px,exp_wholerun_pct,base_scope
2026-06-26,2026-06-26,QCOM,move,significant_drop,long,1.9049906965782324,1,4,1,42.52302349878133,-7.569543664638467,9930,0.979,54.8,2.834,True,"[tier] base 9930x avg5 +0.98% win 55%; mr +1.90; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,189.38999938964844,9.185,206.7855,5,0.78,193.217,14.425,tier
2026-06-26,2026-06-26,MCHP,move,significant_drop,long,1.1785886029517323,1,4,1,43.49215020243878,-6.576712984245036,9930,0.979,54.8,2.543,True,"[tier] base 9930x avg5 +0.98% win 55%; mr +1.18; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,87.93000030517578,9.185,96.0064,5,0.78,89.7068,14.425,tier
2026-06-26,2026-06-26,QCOM,mean_reversion,mr_oversold,long,1.9049906965782324,1,4,1,42.52302349878133,-7.569543664638467,113263,0.674,55.8,2.514,True,"[tier] base 113263x avg5 +0.67% win 56%; mr +1.90; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,189.38999938964844,9.185,206.7855,5,0.78,193.217,14.425,tier
2026-06-26,2026-06-26,GOOGL,mean_reversion,mr_oversold,long,1.4958560695892835,1,5,1,33.26585982617709,-1.8387527170465212,113263,0.674,55.8,2.5,True,"[tier] base 113263x avg5 +0.67% win 56%; mr +1.50; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,337.3900146484375,9.185,368.3793,5,0.78,344.2077,14.425,tier
2026-06-26,2026-06-26,ROST,mean_reversion,mr_oversold,long,1.3403161614386574,1,5,1,35.48471958428232,-0.8692466571528223,113263,0.674,55.8,2.438,True,"[tier] base 113263x avg5 +0.67% win 56%; mr +1.34; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,213.25999450683594,9.185,232.8479,5,0.78,217.5693,14.425,tier
2026-06-26,2026-06-26,TXN,move,significant_drop,long,1.2080377628439842,1,3,1,44.695196618723465,-8.460281931099821,9930,0.979,54.8,2.405,True,"[tier] base 9930x avg5 +0.98% win 55%; mr +1.21; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,285.42999267578125,9.185,311.6467,5,0.78,291.1977,14.425,tier
2026-06-29,2026-06-29,ACN,mean_reversion,mr_oversold,long,3.3346064149302546,1,2,0,25.575372879573152,-2.8957924520690237,113263,0.674,55.8,2.386,True,"[tier] base 113263x avg5 +0.67% win 56%; mr +3.33; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,125.24500274658203,9.185,136.7488,5,0.78,127.7758,14.425,tier
2026-06-26,2026-06-26,ORCL,mean_reversion,mr_oversold,long,2.8984030814373996,1,3,0,29.589268075803403,-2.5777303958447573,113263,0.674,55.8,2.361,True,"[tier] base 113263x avg5 +0.67% win 56%; mr +2.90; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,148.52999877929688,9.185,162.1725,5,0.78,151.5313,14.425,tier
2026-06-26,2026-06-26,CTSH,mean_reversion,mr_oversold,long,2.88703061836309,1,3,0,25.034240183196545,2.2477579032436967,113263,0.674,55.8,2.357,True,"[tier] base 113263x avg5 +0.67% win 56%; mr +2.89; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,40.029998779296875,9.185,43.7068,5,0.78,40.8389,14.425,tier
2026-06-26,2026-06-26,CME,mean_reversion,mr_oversold,long,2.7610574620915784,1,3,0,21.98239253633129,-1.7777777777777781,113263,0.674,55.8,2.306,True,"[tier] base 113263x avg5 +0.67% win 56%; mr +2.76; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,221.0,9.185,241.2988,5,0.78,225.4657,14.425,tier
