scan_date,ts,ticker,method,name,direction,mr_score,mr_oversold,confluence_n,above_ema200,rsi,cc_ret,base_n,base_avg_fwd5,base_win5,conviction,needs_5m_confirm,explained_by,liq_tier,entry_px,exp_firstleg_pct,target_px,exp_firstleg_bars,retrace_frac,add_dip_px,exp_wholerun_pct,base_scope
2026-06-26,2026-06-26,ACN,candlestick,tweezer_bottom,long,3.18277446977698,1,3,0,27.102097512384418,2.5115212528845854,81625,0.286,53.0,2.026,True,"[tier] base 81625x avg5 +0.29% win 53%; mr +3.18; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,128.97999572753906,9.185,140.8268,5,0.78,131.5863,14.425,tier
2026-06-26,2026-06-26,NKE,mean_reversion,mr_oversold,long,1.679072452159769,1,4,0,35.165819592481625,-0.3667518833318284,113209,0.672,55.8,2.022,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.68; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,40.75,9.185,44.4929,5,0.78,41.5734,14.425,tier
2026-06-26,2026-06-26,BLK,mean_reversion,mr_oversold,long,1.477975843737755,1,4,0,33.274909857154114,-0.7418265972793048,113209,0.672,55.8,1.941,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.48; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,964.7100219726562,9.185,1053.3186,5,0.78,984.2039,14.425,tier
2026-06-26,2026-06-26,MSCI,mean_reversion,mr_oversold,long,1.3959487254159517,1,4,0,35.673364228514345,1.889594915799253,113209,0.672,55.8,1.909,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.40; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,554.8499755859375,9.185,605.8129,5,0.78,566.0618,14.425,tier
2026-06-26,2026-06-26,WMT,mean_reversion,mr_oversold,long,1.2676844366589195,1,4,0,37.301743407636685,-0.07773047058169391,113209,0.672,55.8,1.857,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.27; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,115.69000244140625,9.185,126.3161,5,0.78,118.0277,14.425,tier
2026-06-26,2026-06-26,MSCI,candlestick,bullish_harami,long,1.3959487254159517,1,4,0,35.673364228514345,1.889594915799253,67665,0.618,54.7,1.835,True,"[tier] base 67665x avg5 +0.62% win 55%; mr +1.40; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,554.8499755859375,9.185,605.8129,5,0.78,566.0618,14.425,tier
2026-06-26,2026-06-26,FANG,candlestick,inverted_hammer,long,0.8835708468309318,0,3,1,36.6060679429336,-1.4461787704818208,37911,0.551,54.3,1.801,True,"[tier] base 37911x avg5 +0.55% win 54%; mr +0.88; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,179.91000366210938,9.185,196.4347,5,0.78,183.5454,14.425,tier
2026-06-26,2026-06-26,CVX,mean_reversion,mr_oversold,long,1.1115378008245782,1,4,0,32.695639652663544,-0.6850951561408025,113209,0.672,55.8,1.795,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.11; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,171.05999755859375,9.185,186.7719,5,0.78,174.5166,14.425,tier
2026-06-26,2026-06-26,COP,mean_reversion,mr_oversold,long,1.0287358333511492,1,4,0,33.46679261282094,-0.42289687261514164,113209,0.672,55.8,1.762,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.03; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,105.95999908447266,9.185,115.6924,5,0.78,108.1011,14.425,tier
2026-06-26,2026-06-26,MCD,mean_reversion,mr_oversold,long,1.3394436734953106,1,3,0,39.88016118099081,1.973236959284641,113209,0.672,55.8,1.736,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.34; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,269.760009765625,9.185,294.5375,5,0.78,275.2111,14.425,tier
2026-06-26,2026-06-26,GM,candlestick,inverted_hammer,long,0.7047212961561119,0,3,1,44.13564450168478,-0.5475618386093006,37911,0.551,54.3,1.73,True,"[tier] base 37911x avg5 +0.55% win 54%; mr +0.70; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,78.0999984741211,9.185,85.2735,5,0.78,79.6782,14.425,tier
2026-06-26,2026-06-26,ADBE,mean_reversion,mr_oversold,long,1.6876908904266281,1,2,0,36.968760148055075,4.8187745664447945,113209,0.672,55.8,1.725,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.69; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,202.72999572753906,9.185,221.3507,5,0.78,206.8266,14.425,tier
2026-06-26,2026-06-26,XLC,mean_reversion,mr_oversold,long,1.2788265737985738,1,3,0,28.845199160256485,0.5682879936687257,113209,0.672,55.8,1.712,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.28; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,106.18000030517578,9.185,115.9326,5,0.78,108.3256,14.425,tier
2026-06-26,2026-06-26,CAT,move,significant_drop,long,-0.5816135468084002,0,3,1,58.50786708628081,-5.632873720439225,9923,0.978,54.8,1.688,True,"[tier] base 9923x avg5 +0.98% win 55%; mr -0.58; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,997.469970703125,9.185,1089.0876,5,0.78,1017.6258,14.425,tier
2026-06-26,2026-06-26,MSFT,mean_reversion,mr_oversold,long,1.564687555623787,1,2,0,40.434553325026386,5.708135763656941,113209,0.672,55.8,1.676,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.56; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,372.9700012207031,9.185,407.2273,5,0.78,380.5066,14.425,tier
2026-06-26,2026-06-26,XOM,mean_reversion,mr_oversold,long,1.082166441945659,1,3,0,33.875067728620266,-0.7342855276018745,113209,0.672,55.8,1.633,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.08; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,136.5399932861328,9.185,149.0812,5,0.78,139.2991,14.425,tier
2026-06-26,2026-06-26,KR,mean_reversion,mr_oversold,long,1.4221585977364135,1,2,0,35.27537872686558,-0.0692416742433477,113209,0.672,55.8,1.619,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.42; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,57.72999954223633,9.185,63.0325,5,0.78,58.8965,14.425,tier
2026-06-26,2026-06-26,SLB,mean_reversion,mr_oversold,long,1.0410193654565572,1,3,0,29.11097815296573,-0.8856984081883956,113209,0.672,55.8,1.617,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.04; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,47.0,9.185,51.3169,5,0.78,47.9497,14.425,tier
2026-06-26,2026-06-26,AMZN,mean_reversion,mr_oversold,long,1.0244424412703519,1,3,0,39.491613301235276,2.5020959746330673,113209,0.672,55.8,1.61,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.02; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,232.69000244140625,9.185,254.0626,5,0.78,237.392,14.425,tier
